year,election_type,office,district,contest,candidate,votes,pct,rank,is_winner
2019,municipal general,Council,At-Large,West Valley City Council At-Large,DON CHRISTENSEN,5590,56.66,1,True
2019,municipal general,Council,At-Large,West Valley City Council At-Large,DARRELL R CURTIS,4275,43.34,2,False
2019,municipal general,Council,1,West Valley City Council District 1,TOM HUYNH,1064,65.64,1,True
2019,municipal general,Council,1,West Valley City Council District 1,CHRISTIANA TAVO,557,34.36,2,False
2019,municipal general,Council,3,West Valley City Council District 3,KAREN LANG,1855,70.32,1,True
2019,municipal general,Council,3,West Valley City Council District 3,KALETTA L. LYNCH,783,29.68,2,False
2021,municipal general,Mayor,,West Valley City Mayor,KAREN LANG,6627,58.54,1,True
2021,municipal general,Mayor,,West Valley City Mayor,STEVE BUHLER,4694,41.46,2,False
2021,municipal general,Council,At-Large,West Valley City Council At-Large,LARS NORDFELT,6607,59.59,1,True
2021,municipal general,Council,At-Large,West Valley City Council At-Large,JIM VESOCK,3911,35.28,2,False
2021,municipal general,Council,At-Large,West Valley City Council At-Large,LINDIE SUE BEAUDOIN (Write-in),569,5.13,3,False
2021,municipal general,Council,2,West Valley City Council District 2,SCOTT HARMON,2011,59.39,1,True
2021,municipal general,Council,2,West Valley City Council District 2,CHRIS BELL,1375,40.61,2,False
2021,municipal general,Council,4,West Valley City Council District 4,JAKE FITISEMANU JR,1760,53.45,1,True
2021,municipal general,Council,4,West Valley City Council District 4,DARRELL R. CURTIS,1533,46.55,2,False
2023,municipal general,Council,At-Large,West Valley City Council At-Large,DON CHRISTENSEN,6703,58.41,1,True
2023,municipal general,Council,At-Large,West Valley City Council At-Large,SOPHIA HAWES-TINGEY,4772,41.59,2,False
2023,municipal general,Council,1,West Valley City Council District 1,TOM HUYNH,1133,54.52,1,True
2023,municipal general,Council,1,West Valley City Council District 1,MARNI LEFEVRE,945,45.48,2,False
2023,municipal general,Council,3,West Valley City Council District 3,WILL WHETSTONE,1541,56.57,1,True
2023,municipal general,Council,3,West Valley City Council District 3,HEIDI ROGGENBUCK,1183,43.43,2,False
2025,municipal general,Mayor,,West Valley City Mayor,KAREN LANG,8866,75.4,1,True
2025,municipal general,Mayor,,West Valley City Mayor,JUNE FREEMAN HESLEPH,2892,24.6,2,False
2025,municipal general,Mayor,,West Valley City Mayor,Write-in (unresolved),0,0.0,3,False
2025,municipal general,Council,At-Large,West Valley City Council At-Large,LARS NORDFELT,6333,54.82,1,True
2025,municipal general,Council,At-Large,West Valley City Council At-Large,HEIDI ROGGENBUCK,5052,43.73,2,False
2025,municipal general,Council,At-Large,West Valley City Council At-Large,RYAN MAHONEY (Write-in),167,1.45,3,False
2025,municipal general,Council,At-Large,West Valley City Council At-Large,Write-in (unresolved),0,0.0,4,False
2025,municipal general,Council,2,West Valley City Council District 2,SCOTT L. HARMON,2202,61.53,1,True
2025,municipal general,Council,2,West Valley City Council District 2,DANNY GEORGE JR,1377,38.47,2,False
2025,municipal general,Council,2,West Valley City Council District 2,Write-in (unresolved),0,0.0,3,False
2025,municipal general,Council,4,West Valley City Council District 4,CINDY WOOD,2231,63.51,1,True
2025,municipal general,Council,4,West Valley City Council District 4,AMITONU WESLEY AMOSA,1282,36.49,2,False
2025,municipal general,Council,4,West Valley City Council District 4,Write-in (unresolved),0,0.0,3,False
