city,district_id,plan_id,effective_start,effective_end,geometry_ref,adopted_by,source_url,confidence,note
murray,District 1,plan_2022,2022-01-04,,geo/districts.geojson,Murray City ordinance adjusting Council District boundaries (2021-2022 redistricting),"geo/districts.geojson (official Murray 5-district FeatureServer; Boundary_Approval_Date=2022-01-04, post-2020-census redistricting); meeting_minutes/minutes/2022/2022-01-03/2022-01-04_city-council-meeting.md (ordinance adjusting the Council District boundaries)",high,CURRENT post-2020-census boundaries; official 5-district layer in geo/districts.geojson (Boundary_Approval_Date 2022-01-04). District NUMBERS were unchanged by the redraw. First used for the 2023 (D1/D3/D5) district elections.
murray,District 1,plan_pre2022,2020-01-01,2022-01-04,,prior plan (pre-2022 boundaries),,low,"Pre-2022 (pre-2020-census) Murray district boundaries NOT acquired -> honest GAP (blank geometry, low). In force through the 2021 elections. effective_start = data floor."
murray,District 2,plan_2022,2022-01-04,,geo/districts.geojson,Murray City ordinance adjusting Council District boundaries (2021-2022 redistricting),"geo/districts.geojson (official Murray 5-district FeatureServer; Boundary_Approval_Date=2022-01-04, post-2020-census redistricting); meeting_minutes/minutes/2022/2022-01-03/2022-01-04_city-council-meeting.md (ordinance adjusting the Council District boundaries)",high,CURRENT post-2020-census boundaries; official 5-district layer in geo/districts.geojson (Boundary_Approval_Date 2022-01-04). District NUMBERS were unchanged by the redraw. First used for the 2023 (D1/D3/D5) district elections.
murray,District 2,plan_pre2022,2020-01-01,2022-01-04,,prior plan (pre-2022 boundaries),,low,"Pre-2022 (pre-2020-census) Murray district boundaries NOT acquired -> honest GAP (blank geometry, low). In force through the 2021 elections. effective_start = data floor."
murray,District 3,plan_2022,2022-01-04,,geo/districts.geojson,Murray City ordinance adjusting Council District boundaries (2021-2022 redistricting),"geo/districts.geojson (official Murray 5-district FeatureServer; Boundary_Approval_Date=2022-01-04, post-2020-census redistricting); meeting_minutes/minutes/2022/2022-01-03/2022-01-04_city-council-meeting.md (ordinance adjusting the Council District boundaries)",high,CURRENT post-2020-census boundaries; official 5-district layer in geo/districts.geojson (Boundary_Approval_Date 2022-01-04). District NUMBERS were unchanged by the redraw. First used for the 2023 (D1/D3/D5) district elections.
murray,District 3,plan_pre2022,2020-01-01,2022-01-04,,prior plan (pre-2022 boundaries),,low,"Pre-2022 (pre-2020-census) Murray district boundaries NOT acquired -> honest GAP (blank geometry, low). In force through the 2021 elections. effective_start = data floor."
murray,District 4,plan_2022,2022-01-04,,geo/districts.geojson,Murray City ordinance adjusting Council District boundaries (2021-2022 redistricting),"geo/districts.geojson (official Murray 5-district FeatureServer; Boundary_Approval_Date=2022-01-04, post-2020-census redistricting); meeting_minutes/minutes/2022/2022-01-03/2022-01-04_city-council-meeting.md (ordinance adjusting the Council District boundaries)",high,CURRENT post-2020-census boundaries; official 5-district layer in geo/districts.geojson (Boundary_Approval_Date 2022-01-04). District NUMBERS were unchanged by the redraw. First used for the 2023 (D1/D3/D5) district elections.
murray,District 4,plan_pre2022,2020-01-01,2022-01-04,,prior plan (pre-2022 boundaries),,low,"Pre-2022 (pre-2020-census) Murray district boundaries NOT acquired -> honest GAP (blank geometry, low). In force through the 2021 elections. effective_start = data floor."
murray,District 5,plan_2022,2022-01-04,,geo/districts.geojson,Murray City ordinance adjusting Council District boundaries (2021-2022 redistricting),"geo/districts.geojson (official Murray 5-district FeatureServer; Boundary_Approval_Date=2022-01-04, post-2020-census redistricting); meeting_minutes/minutes/2022/2022-01-03/2022-01-04_city-council-meeting.md (ordinance adjusting the Council District boundaries)",high,CURRENT post-2020-census boundaries; official 5-district layer in geo/districts.geojson (Boundary_Approval_Date 2022-01-04). District NUMBERS were unchanged by the redraw. First used for the 2023 (D1/D3/D5) district elections.
murray,District 5,plan_pre2022,2020-01-01,2022-01-04,,prior plan (pre-2022 boundaries),,low,"Pre-2022 (pre-2020-census) Murray district boundaries NOT acquired -> honest GAP (blank geometry, low). In force through the 2021 elections. effective_start = data floor."
murray,MAYOR,citywide,2020-01-01,,geo/districts.geojson,Murray City (citywide executive office),"geo/districts.geojson (official Murray 5-district FeatureServer; Boundary_Approval_Date=2022-01-04, post-2020-census redistricting); meeting_minutes/minutes/2022/2022-01-03/2022-01-04_city-council-meeting.md (ordinance adjusting the Council District boundaries)",high,"the separately-elected executive Mayor (Blair Camp -> Brett Hales): represents the ENTIRE city on every date, unchanged by the 2022 redistricting. Only the 5 numbered council districts are geographic. The executive Mayor does NOT vote on council legislation."
