date,year,title,slug,path,source,source_url,format,meeting_type,pmn_notice_id,pmn_file_id
2018-10-25,2018,Metro Township Council Meeting,metro-township-council-meeting-459655,minutes/2018/2018-10-25/2018-10-25_metro-township-council-meeting-459655.md,pmn,https://www.utah.gov/pmn/files/459655.pdf,pdf-text,Regular,494581,459655
2018-11-29,2018,Metro Township Council Meeting,metro-township-council-meeting-466809,minutes/2018/2018-11-29/2018-11-29_metro-township-council-meeting-466809.md,pmn,https://www.utah.gov/pmn/files/466809.pdf,pdf-text,Regular,500585,466809
2018-12-19,2018,Metro Township Council Meeting,metro-township-council-meeting-466807,minutes/2018/2018-12-19/2018-12-19_metro-township-council-meeting-466807.md,pmn,https://www.utah.gov/pmn/files/466807.pdf,pdf-text,Regular,504867,466807
2019-01-24,2019,Metro Township Council Meeting,metro-township-council-meeting-475005,minutes/2019/2019-01-24/2019-01-24_metro-township-council-meeting-475005.md,pmn,https://www.utah.gov/pmn/files/475005.pdf,pdf-text,Regular,511481,475005
2019-01-31,2019,Metro Township Council Meeting,metro-township-council-meeting-475007,minutes/2019/2019-01-31/2019-01-31_metro-township-council-meeting-475007.md,pmn,https://www.utah.gov/pmn/files/475007.pdf,pdf-text,Regular,512131,475007
2019-02-28,2019,Metro Township Council Meeting,metro-township-council-meeting-522675,minutes/2019/2019-02-28/2019-02-28_metro-township-council-meeting-522675.md,pmn,https://www.utah.gov/pmn/files/522675.pdf,pdf-text,Regular,518335,522675
2019-03-28,2019,Metro Township Council Meeting,metro-township-council-meeting-522677,minutes/2019/2019-03-28/2019-03-28_metro-township-council-meeting-522677.md,pmn,https://www.utah.gov/pmn/files/522677.pdf,pdf-text,Regular,524229,522677
2019-04-08,2019,Metro Township Council Emergency Meeting,metro-township-council-emergency-meeting-522679,minutes/2019/2019-04-08/2019-04-08_metro-township-council-emergency-meeting-522679.md,pmn,https://www.utah.gov/pmn/files/522679.pdf,pdf-text,Emergency,526421,522679
2019-04-25,2019,Metro Township Council Meeting,metro-township-council-meeting-522681,minutes/2019/2019-04-25/2019-04-25_metro-township-council-meeting-522681.md,pmn,https://www.utah.gov/pmn/files/522681.pdf,pdf-text,Regular,529925,522681
2019-05-23,2019,Metro Township Council Meeting,metro-township-council-meeting-522683,minutes/2019/2019-05-23/2019-05-23_metro-township-council-meeting-522683.md,pmn,https://www.utah.gov/pmn/files/522683.pdf,pdf-text,Regular,536095,522683
2019-06-19,2019,Metro Township Council Meeting,metro-township-council-meeting-522685,minutes/2019/2019-06-19/2019-06-19_metro-township-council-meeting-522685.md,pmn,https://www.utah.gov/pmn/files/522685.pdf,pdf-text,Regular,542251,522685
2019-08-22,2019,Metro Township Council Meeting,metro-township-council-meeting-556733,minutes/2019/2019-08-22/2019-08-22_metro-township-council-meeting-556733.md,pmn,https://www.utah.gov/pmn/files/556733.pdf,pdf-text,Regular,553613,556733
2019-09-19,2019,Metro Township Council Meeting,metro-township-council-meeting-556735,minutes/2019/2019-09-19/2019-09-19_metro-township-council-meeting-556735.md,pmn,https://www.utah.gov/pmn/files/556735.pdf,pdf-text,Regular,559223,556735
2019-10-24,2019,Metro Township Council Meeting,metro-township-council-meeting-568103,minutes/2019/2019-10-24/2019-10-24_metro-township-council-meeting-568103.md,pmn,https://www.utah.gov/pmn/files/568103.pdf,pdf-text,Regular,566099,568103
