date,title,pmn_notice_id,reason
2017-01-04,Emigration Canyon Metro Township Council,369113,PMN file store purged (attachments 404)
2018-01-15,Special Meeting Agenda,440741,PMN file store purged (attachments 404)
2019-07-25,Emigration Canyon Metro Township Council Meeting,548487,agenda + meeting audio posted; no approved-minutes doc recovered (PMN-only; verified agenda/audio-grade 2026-07-17)
2020-03-24,Cancellation of Meeting,594899,PMN file store purged (attachments 404)
2020-05-28,Emigration Canyon Metro Township Council Meeting,607305,agenda + meeting audio posted; no approved-minutes doc recovered (PMN-only; verified agenda/audio-grade 2026-07-17)
2020-06-18,Emigration Canyon Metro Township Council Meeting,612343,agenda + meeting audio posted; no approved-minutes doc recovered (PMN-only; verified agenda/audio-grade 2026-07-17)
2020-06-25,Emigration Canyon Metro Township Council Meeting,613783,agenda + meeting audio posted; no approved-minutes doc recovered (PMN-only; verified agenda/audio-grade 2026-07-17)
2020-07-16,Emigration Canyon Metro Township Council Meeting,617591,agenda + meeting audio posted; no approved-minutes doc recovered (PMN-only; verified agenda/audio-grade 2026-07-17)
2020-08-27,Emigration Canyon Metro Township Council Meeting,625419,meeting noticed; no minutes/agenda attachment on PMN; no approved-minutes doc recovered (verified 2026-07-17)
2020-09-24,Emigration Canyon Metro Township Council Meeting,630635,agenda posted; no approved-minutes doc recovered (PMN-only; verified agenda-grade 2026-07-17)
2020-10-12,Emigration Canyon Metro Township Council Meeting,633703,meeting noticed; no minutes/agenda attachment on PMN; no approved-minutes doc recovered (verified 2026-07-17)
2020-10-29,Emigration Canyon Metro Township Council Meeting,637441,meeting noticed; no minutes/agenda attachment on PMN; no approved-minutes doc recovered (verified 2026-07-17)
2020-11-10,Emigration Canyon Metro Township Council Meeting,639865,meeting noticed; no minutes/agenda attachment on PMN; no approved-minutes doc recovered (verified 2026-07-17)
2021-03-25,Emigration Canyon Metro Township Council Meeting,666277,agenda + meeting audio posted; no approved-minutes doc recovered (PMN-only; verified agenda/audio-grade 2026-07-17)
2021-04-20,Emigration Canyon Metro Township Council Meeting,670987,agenda + meeting audio posted; no approved-minutes doc recovered (PMN-only; verified agenda/audio-grade 2026-07-17)
2023-04-19,Emigration Canyon Metro Township Council Meeting,826473,agenda + meeting audio posted; no approved-minutes doc recovered (PMN-only; verified agenda/audio-grade 2026-07-17)
2023-09-26,Emigration Canyon Metro Township Council Meeting,860733,agenda + meeting audio posted; no approved-minutes doc recovered (PMN-only; verified agenda/audio-grade 2026-07-17)
2024-08-27,Emigration Canyon Council Meeting,935699,notice/agenda posted; no approved-minutes doc recovered
2024-10-22,Emigration Canyon Council Meeting,948157,notice/agenda posted; no approved-minutes doc recovered
2024-12-17,Emigration Canyon City Council Meeting,961617,agenda + meeting audio posted; no approved-minutes doc recovered (PMN-only; verified agenda/audio-grade 2026-07-17)
2025-02-25,Emigration Canyon City Council Meeting,976233,notice/agenda posted; no approved-minutes doc recovered
2025-03-25,Emigration Canyon City Council Meeting,982413,notice/agenda posted; no approved-minutes doc recovered
2025-04-22,Emigration Canyon City Council Meeting,988957,notice/agenda posted; no approved-minutes doc recovered
2025-07-14,Emigration Canyon City Council Meeting,1009497,notice/agenda posted; no approved-minutes doc recovered
2025-08-20,Emigration Canyon City Council Special Meeting,1016939,agenda + meeting audio posted; no approved-minutes doc recovered (PMN-only; verified agenda/audio-grade 2026-07-17)
2025-09-23,Emigration Canyon City Council Meeting,1024843,notice/agenda posted; no approved-minutes doc recovered
2025-09-29,Emigration Canyon Special Meeting,1026151,notice/agenda posted; no approved-minutes doc recovered
2026-01-01,2026 Emigration Canyon City Council Schedule,1050493,notice/agenda posted; no approved-minutes doc recovered
2026-01-05,Mid-Term Vacancy Public Notice - Council Member At-Large,1049379,notice/agenda posted; no approved-minutes doc recovered
2026-02-23,Emigration Canyon City Council Special Meeting,1061465,agenda + meeting audio posted; no approved-minutes doc recovered (PMN-only; verified agenda/audio-grade 2026-07-17)
2026-06-16,Emigration Canyon City Council Meeting,1089055,notice/agenda posted; no approved-minutes doc recovered
