date,title,source_url,retrieved_date,format,extraction_method,candidate,candidate_key,matched_election_candidate,join_confidence,office_stated,office_scope,election_cycle,filing_grain,page_start,page_end,pages_total,channel,portal_label,path,text_path,document_id,sha256,bytes,read_method,needs_review,notes,election_year
,st2022_Weber_County_Candidates_General_Election_22_Financial_Disclosures.pdf (document grain — filings not separately attributed),https://municipal.utah.gov/weber%5C2022%5CWeber%20County%20Candidates%20General%20Election%2022%20Financial%20Disclosures.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),,,,,,,,document,,52,52,disclosures.utah.gov / municipal.utah.gov (Lt. Governor municipal tree),disclosures.utah.gov /Municipal/weber_2022 — portal label: Weber County Candidates General Election 22 Financial Disclosures.pdf,raw/state/st2022_Weber_County_Candidates_General_Election_22_Financial_Disclosures.pdf,text/state__st2022_Weber_County_Candidates_General_Election_22_Financial_Disclosures.txt,st2022_Weber_County_Candidates_General_Election_22_Financial_Disclosures,d2cb92dd65bded90f2716e4db0acfbdd21869aec72d66b2eb9c2ce4e2d16448d,6176720,,1,no per-filing attribution rows exist for this document,
2010-08-26,Brad C Smith — Weber County campaign financial report 2010 (Ogden City School Board),https://municipal.utah.gov/weber%5C2010%20Elections%5Cbrad%20smith%208-26-10.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Brad C Smith,BRAD SMITH,BRAD SMITH,person-only,Ogden City School Board,school_board,2010,filing,1,3,3,disclosures.utah.gov / municipal.utah.gov (Lt. Governor municipal tree),disclosures.utah.gov /Municipal/weber_2010 Elections — portal label: Brad Smith 8-26-10.pdf,raw/state/st2010_Brad_Smith_8-26-10.pdf,text/state__st2010_Brad_Smith_8-26-10.txt,st2010_Brad_Smith_8-26-10,c8eda193f7516acfe1a4d4ca2baebc1197a059eb0752a1b3bf0f816b8aaa8a0c,153497,vision (rendered page 1),0,,2010
2010-08-31,Cheryl Ferrin — Weber County campaign financial report 2010 (School Board),https://municipal.utah.gov/weber%5C2010%20Elections%5CCheryl%20Ferrin%2008312010.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Cheryl Ferrin,CHERYL FERRIN,,none,School Board,school_board,2010,filing,1,3,3,disclosures.utah.gov / municipal.utah.gov (Lt. Governor municipal tree),disclosures.utah.gov /Municipal/weber_2010 Elections — portal label: Cheryl Ferrin 08312010.pdf,raw/state/st2010_Cheryl_Ferrin_08312010.pdf,text/state__st2010_Cheryl_Ferrin_08312010.txt,st2010_Cheryl_Ferrin_08312010,c4becd33c8c44ab88170633823d8e643fd1f2b241e27f3c485e49a3be3c1b293,155945,vision (rendered page 1),0,,2010
2010-08-17,Dean L. Oborn — Weber County campaign financial report 2010 (Weber County School Board),https://municipal.utah.gov/weber%5C2010%20Elections%5CDean%20Oborn%2008312010.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Dean L. Oborn,DEAN OBORN,,none,Weber County School Board,school_board,2010,filing,1,3,3,disclosures.utah.gov / municipal.utah.gov (Lt. Governor municipal tree),disclosures.utah.gov /Municipal/weber_2010 Elections — portal label: Dean Oborn 08312010.pdf,raw/state/st2010_Dean_Oborn_08312010.pdf,text/state__st2010_Dean_Oborn_08312010.txt,st2010_Dean_Oborn_08312010,832caf25cdd2cf28247e8829acedd7437927e380e16a9e38f4565b54b5972729,151593,vision (rendered page 1),0,,2010
2010-08-10,J H Thompson — Weber County campaign financial report 2010 (Ogden School Board),https://municipal.utah.gov/weber%5C2010%20Elections%5CJH%20Thompson%208-10-2010.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),J H Thompson,J THOMPSON,,none,Ogden School Board,school_board,2010,filing,1,3,3,disclosures.utah.gov / municipal.utah.gov (Lt. Governor municipal tree),disclosures.utah.gov /Municipal/weber_2010 Elections — portal label: Jh Thompson 8-10-2010.pdf,raw/state/st2010_Jh_Thompson_8-10-2010.pdf,text/state__st2010_Jh_Thompson_8-10-2010.txt,st2010_Jh_Thompson_8-10-2010,d7be4f4e5e80d7f584b6782c608e37fa6bcbd2bd144638a17f283b9227c8075b,163001,vision (rendered page 1),0,,2010
2010-08-24,Sharilyn Gerber — Weber County campaign financial report 2010 (Weber School Board),https://municipal.utah.gov/weber%5C2010%20Elections%5CSharilyn%20Gerber%2008312010.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Sharilyn Gerber,SHARILYN GERBER,,none,Weber School Board,school_board,2010,filing,1,3,3,disclosures.utah.gov / municipal.utah.gov (Lt. Governor municipal tree),disclosures.utah.gov /Municipal/weber_2010 Elections — portal label: Sharilyn Gerber 08312010.pdf,raw/state/st2010_Sharilyn_Gerber_08312010.pdf,text/state__st2010_Sharilyn_Gerber_08312010.txt,st2010_Sharilyn_Gerber_08312010,e011a818c3c88ff10e3eeb53c8ce15d2ebeb602823dac8700b8e920941fd3fa4,151705,vision (rendered page 1),0,,2010
2010-08-25,Stan Bassett — Weber County campaign financial report 2010 (Weber School Board),https://municipal.utah.gov/weber%5C2010%20Elections%5CStan%20Bassett%208-25-10.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Stan Bassett,STAN BASSETT,,none,Weber School Board,school_board,2010,filing,1,3,3,disclosures.utah.gov / municipal.utah.gov (Lt. Governor municipal tree),disclosures.utah.gov /Municipal/weber_2010 Elections — portal label: Stan Bassett 8-25-10.pdf,raw/state/st2010_Stan_Bassett_8-25-10.pdf,text/state__st2010_Stan_Bassett_8-25-10.txt,st2010_Stan_Bassett_8-25-10,3ef7cfaeb337fee0875e85bc98584296689602c19d29858338f2d9ea0a6481af,110857,vision (rendered page 1),0,,2010
2010-06-15,Steven Prisbrey — Weber County campaign financial report 2010 (Ogden School Board),https://municipal.utah.gov/weber%5C2010%20Elections%5CSteven%20Prisbreg%206-8-10.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Steven Prisbrey,STEVEN PRISBREY,,none,Ogden School Board,school_board,2010,filing,1,3,3,disclosures.utah.gov / municipal.utah.gov (Lt. Governor municipal tree),disclosures.utah.gov /Municipal/weber_2010 Elections — portal label: Steven Prisbreg 6-8-10.pdf,raw/state/st2010_Steven_Prisbreg_6-8-10.pdf,text/state__st2010_Steven_Prisbreg_6-8-10.txt,st2010_Steven_Prisbreg_6-8-10,ed984673daa97f146af3490ec2a8c2967522d3d5335d8cf8ffe3561de195082a,159641,vision (rendered page 1),0,,2010
2012-06-19,Allen D Smith — Weber County campaign financial report 2012 (School Board District 1),https://www.weberelections.gov/_files/ugd/7e3a53_770058fb028a412c86480caecd4959ec.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Allen D Smith,ALLEN SMITH,,none,School Board District 1,school_board,2012,filing-in-compilation,1,3,39,weberelections.gov consolidated cycle archive,weberelections.gov consolidated 2012 Reports archive,raw/archives/2012_combined_7e3a53_770058fb.pdf,text/archives__2012_combined_7e3a53_770058fb.txt,2012_combined_7e3a53_770058fb#p1,6664ccdbecce992b366669fd0017e95628736c50871d8fb83f3ea8f77d89b017,1728557,vision (rendered cover page),0,,2012
2012-06-19,Jeffrey Heiner — Weber County campaign financial report 2012 (Ogden School Board District #4),https://www.weberelections.gov/_files/ugd/7e3a53_770058fb028a412c86480caecd4959ec.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Jeffrey Heiner,JEFFREY HEINER,,none,Ogden School Board District #4,school_board,2012,filing-in-compilation,4,6,39,weberelections.gov consolidated cycle archive,weberelections.gov consolidated 2012 Reports archive,raw/archives/2012_combined_7e3a53_770058fb.pdf,text/archives__2012_combined_7e3a53_770058fb.txt,2012_combined_7e3a53_770058fb#p4,6664ccdbecce992b366669fd0017e95628736c50871d8fb83f3ea8f77d89b017,1728557,vision (rendered cover page),0,,2012
