path,text_path,pages,method,format,chars,per_page_chars
raw/archives/2012_combined_7e3a53_770058fb.pdf,text/archives__2012_combined_7e3a53_770058fb.txt,39,tesseract --psm 6 (pdftoppm 300dpi gray),scanned,35713,1697|247|281|1766|222|156|1726|1946|281|258|1238|1786|1893|217|197|1858|156|195|1862|924|646|1859|240|331|1982|206|564|1880|889|1214|1841|194|196|1867|177|289|1805|268|283
raw/archives/2016_combined_7e3a53_2e3f405d.pdf,text/archives__2016_combined_7e3a53_2e3f405d.txt,35,tesseract --psm 6 (pdftoppm 300dpi gray),scanned,38426,1868|1869|252|375|1846|310|199|1755|205|258|1787|157|90|1851|2886|3083|580|2242|3148|1469|1301|1820|119|61|1863|61|106|1765|310|1807|352|369|1836|182|176
raw/archives/2018_combined_7e3a53_1c487f91.pdf,text/archives__2018_combined_7e3a53_1c487f91.txt,39,tesseract --psm 6 (pdftoppm 300dpi gray),scanned,45494,869|1659|1631|1824|202|398|1694|1927|2063|212|1295|2780|2880|1829|154|268|1926|314|1050|1872|348|231|1927|1817|107|257|1835|93|75|1789|99|206|1778|1828|246|1785|515|1890|1745
raw/archives/2020_combined_7e3a53_f03540b9.pdf,text/archives__2020_combined_7e3a53_f03540b9.txt,37,pdftotext -layout + tesseract --psm 6 on blank pages,mixed,46992,1973|3385|1843|133|167|1946|224|3157|2194|1387|1940|258|3098|1881|1679|39|133|1988|1988|262|320|1964|164|297|1881|53|191|2981|2040|221|166|1929|259|315|847|1418|1989
raw/archives/2022_combined_7e3a53_78d55edd.pdf,text/archives__2022_combined_7e3a53_78d55edd.txt,52,tesseract --psm 6 (pdftoppm 300dpi gray),scanned,59468,1955|145|1997|1701|126|279|1662|1936|467|247|1726|275|337|1641|247|151|1965|325|762|1896|984|2329|1895|1685|3079|1742|1850|268|374|1919|139|445|2389|1894|427|900|1910|297|940|1955|1052|1253|1934|488|661|182|1950|768|1057|1886|555|319
raw/archives/2024_combined_92078f_26b6bacd.pdf,text/archives__2024_combined_92078f_26b6bacd.txt,167,tesseract --psm 6 (pdftoppm 300dpi gray),scanned,154082,2285|273|393|1812|335|319|1457|2184|450|883|2170|2174|210|406|1933|341|500|539|2324|475|1043|2317|143|392|1643|218|261|2274|87|65|2115|161|492|2283|314|237|2340|197|386|2417|140|575|1415|356|455|417|2232|41|96|2123|317|540|2454|234|351|2133|706|516|2421|2227|755|1018|528|701|939|315|2265|71|182|2257|223|307|2197|236|267|2306|587|202|2094|192|271|1914|2085|122|271|594|2390|328|491|2000|2421|123|267|2104|172|675|398|1968|305|104|144|2278|201|286|2271|292|387|1839|400|485|2424|233|1024|286|1989|268|207|249|2264|228|328|2295|295|578|2055|272|330|2177|2079|125|0|0|243|353|2232|235|308|2299|218|294|2386|198|268|2218|240|355|2224|75|98|2273|162|321|2259|62|283|83|244|2258|239|255|2389|91|358|0|2235|219|247
raw/state/st2010_Brad_Smith_8-26-10.pdf,text/state__st2010_Brad_Smith_8-26-10.txt,3,tesseract --psm 6 (pdftoppm 300dpi gray),scanned,2144,1893|93|154
raw/state/st2010_Cheryl_Ferrin_08312010.pdf,text/state__st2010_Cheryl_Ferrin_08312010.txt,3,tesseract --psm 6 (pdftoppm 300dpi gray),scanned,2197,1922|122|149
raw/state/st2010_Dean_Oborn_08312010.pdf,text/state__st2010_Dean_Oborn_08312010.txt,3,tesseract --psm 6 (pdftoppm 300dpi gray),scanned,2141,1837|152|148
raw/state/st2010_Jh_Thompson_8-10-2010.pdf,text/state__st2010_Jh_Thompson_8-10-2010.txt,3,tesseract --psm 6 (pdftoppm 300dpi gray),scanned,2114,1834|163|113
