candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes,filing_regime
Matthew Bell,Commission,2012,2012-10-30,October 23 - 30th,interim,33289.36,32847.07,,442.29,,,,,,,,0,0,raw/wayback/wb20161019231334_MBellCampaign.pdf,wb20161019231334_MBellCampaign,high,"Typed form. Signed 10-26-12; RECEIVED stamp OCT 29 2012.  REGIME: this form is CUMULATIVE (its third column is literally 'Cumulative Total'), so a candidate-cycle total is the LATEST non-superseded report, never a sum of the filings.  stated_* are the CUMULATIVE column; stated_beginning_balance is the ending-balance figure in the 'Totals from Last Report' column.  itemized rows NOT transcribed (cover-page totals tranche) — reconciles_* are blank/unknown, never False.",cumulative
Matthew Bell,Commission,2012,2013-01-10,By January 4th of the year following a regular General Election,final,44428.89,39649.18,442.29,4779.71,,,,,,,,0,0,raw/wayback/wb20160910181514_MBellCampaign2.pdf,wb20160910181514_MBellCampaign2,high,"Typed form. RECEIVED stamp DEC 31 2012; signature date 12-31-12.  REGIME: this form is CUMULATIVE (its third column is literally 'Cumulative Total'), so a candidate-cycle total is the LATEST non-superseded report, never a sum of the filings.  stated_* are the CUMULATIVE column; stated_beginning_balance is the ending-balance figure in the 'Totals from Last Report' column.  itemized rows NOT transcribed (cover-page totals tranche) — reconciles_* are blank/unknown, never False.",cumulative
Corey Combe,Commissioner,2012,2012-10-30,Seven days before the November Election,interim,24792.52,19834.65,,,,,,,,,,0,0,raw/wayback/wb20160824082859_CCombeCampaign.pdf,wb20160824082859_CCombeCampaign,low,"Older pre-2013 'FINANCIAL CAMPAIGN REPORT' form (county-office-only variant; 4 report-type boxes, no school-board line). Only the CUMULATIVE column is filled. Ending balance LEFT BLANK: the handwritten figure reads as either 4,287.87 or 4,957.87 and could not be resolved at 900dpi (bilevel scan) - not guessed. For reference the form's own arithmetic (24,622.52+170.00-19,834.65) would give 4,957.87. Form signed 10-29-12; index.csv carries filing date 2012-10-30 (clerk receipt).  REGIME: this form is CUMULATIVE (its third column is literally 'Cumulative Total'), so a candidate-cycle total is the LATEST non-superseded report, never a sum of the filings.  stated_* are the CUMULATIVE column; stated_beginning_balance is the ending-balance figure in the 'Totals from Last Report' column.  itemized rows NOT transcribed (cover-page totals tranche) — reconciles_* are blank/unknown, never False.",cumulative
John E. Ulibarri II,Assessor,2014,2014-10-27,October 21st - 28th,interim,1892.08,1892.08,,,,,,,,,,0,0,raw/wayback/wb20160824043328_Ulibarri_financials.pdf,wb20160824043328_Ulibarri_financials,high,"Typed form, signed 9/24/2014, clerk RECEIVED stamp OCT 27 2014 (index.csv carries 2014-10-27). Figures are IDENTICAL to this filer's 12/29/2014 report - both retained, neither is a duplicate document (different signature dates, different stamps).  REGIME: this form is CUMULATIVE (its third column is literally 'Cumulative Total'), so a candidate-cycle total is the LATEST non-superseded report, never a sum of the filings.  stated_* are the CUMULATIVE column; stated_beginning_balance is the ending-balance figure in the 'Totals from Last Report' column.  itemized rows NOT transcribed (cover-page totals tranche) — reconciles_* are blank/unknown, never False.",cumulative
John E. Ulibarri II,Assessor,2014,2014-12-29,October 21st - 28th,interim,1892.08,1892.08,,,,,,,,,,0,0,raw/wayback/wb20160824031236_JUlibarri_1.5.15.pdf,wb20160824031236_JUlibarri_1.5.15,high,"FILER LABEL CONFLICT retained verbatim: the 'October 21st - 28th' box is ticked but the form is signed 12/29/2014 and the clerk RECEIVED stamp is DEC 29 2014 - i.e. it is filed in the January-final window. Neither value was corrected.  REGIME: this form is CUMULATIVE (its third column is literally 'Cumulative Total'), so a candidate-cycle total is the LATEST non-superseded report, never a sum of the filings.  stated_* are the CUMULATIVE column; stated_beginning_balance is the ending-balance figure in the 'Totals from Last Report' column.  itemized rows NOT transcribed (cover-page totals tranche) — reconciles_* are blank/unknown, never False.",cumulative
Neil Hansen,Clerk/Auditor,2014,2015-01-05,"January 5th, 2015 (final report)",final,0,0,0,0,,,,,,,,0,0,raw/wayback/wb20160824031446_NHansen_1.5.15.pdf,wb20160824031446_NHansen_1.5.15,high,"Typed form; every cell is a typed 0. RETAINED VERBATIM even though it contradicts this filer's own 10-27-14 report (722.22 contributions and 722.22 expenditures) - the final report restates the cycle as zero. Filer inconsistency, not corrected.  REGIME: this form is CUMULATIVE (its third column is literally 'Cumulative Total'), so a candidate-cycle total is the LATEST non-superseded report, never a sum of the filings.  stated_* are the CUMULATIVE column; stated_beginning_balance is the ending-balance figure in the 'Totals from Last Report' column.  itemized rows NOT transcribed (cover-page totals tranche) — reconciles_* are blank/unknown, never False.",cumulative
Ricky D. Hatch,Clerk/Auditor,2014,2014-10-28,October 21st - 28th,interim,14234.66,10751.73,159.82,3482.93,,,,,,,,0,0,raw/wayback/wb20160824082910_Hatch_financials.pdf,wb20160824082910_Hatch_financials,high,"Typed form; RECEIVED stamp OCT 28 2014.  REGIME: this form is CUMULATIVE (its third column is literally 'Cumulative Total'), so a candidate-cycle total is the LATEST non-superseded report, never a sum of the filings.  stated_* are the CUMULATIVE column; stated_beginning_balance is the ending-balance figure in the 'Totals from Last Report' column.  itemized rows NOT transcribed (cover-page totals tranche) — reconciles_* are blank/unknown, never False.",cumulative
Ricky D. Hatch,Clerk/Auditor,2014,2015-01-05,"January 5th, 2015 (final report)",final,14234.66,10813.73,3482.93,3420.93,,,,,,,,0,0,raw/wayback/wb20160824033834_RHatch1.5.2015.pdf,wb20160824033834_RHatch1.5.2015,high,"Typed form; the final-report box is marked 'XX'.  REGIME: this form is CUMULATIVE (its third column is literally 'Cumulative Total'), so a candidate-cycle total is the LATEST non-superseded report, never a sum of the filings.  stated_* are the CUMULATIVE column; stated_beginning_balance is the ending-balance figure in the 'Totals from Last Report' column.  itemized rows NOT transcribed (cover-page totals tranche) — reconciles_* are blank/unknown, never False.",cumulative
James Ebert,Commission Seat A,2014,2014-10-24,October 21st - 28th,interim,6230.00,6948.22,,-718.22,,,,,,,,0,0,raw/wayback/wb20160824055040_Ebert_financials.pdf,wb20160824055040_Ebert_financials,high,"Typed form; RECEIVED stamp OCT 24 2014; candidate signed 10/24/14, committee secretary 10/22/2014.  REGIME: this form is CUMULATIVE (its third column is literally 'Cumulative Total'), so a candidate-cycle total is the LATEST non-superseded report, never a sum of the filings.  stated_* are the CUMULATIVE column; stated_beginning_balance is the ending-balance figure in the 'Totals from Last Report' column.  itemized rows NOT transcribed (cover-page totals tranche) — reconciles_* are blank/unknown, never False.",cumulative
James Ebert,Commission Seat A,2014,2014-12-30,"January 5th, 2015 (final report)",final,8130.00,6948.22,-718.22,1181.78,,,,,,,,0,0,raw/wayback/wb20160824045615_JEbert_1.5.15.pdf,wb20160824045615_JEbert_1.5.15,high,"Typed form; RECEIVED stamp DEC 30 2014. Parenthesised figures are the filer's negative-balance notation, retained verbatim.  REGIME: this form is CUMULATIVE (its third column is literally 'Cumulative Total'), so a candidate-cycle total is the LATEST non-superseded report, never a sum of the filings.  stated_* are the CUMULATIVE column; stated_beginning_balance is the ending-balance figure in the 'Totals from Last Report' column.  itemized rows NOT transcribed (cover-page totals tranche) — reconciles_* are blank/unknown, never False.",cumulative
