path,page_start,page_end,candidate_stated,office_stated,filing_date_stated,office_scope,read_method,notes
raw/archives/2012_combined_7e3a53_770058fb.pdf,1,3,Allen D Smith,School Board District 1,2012-06-19,school_board,vision (rendered cover page),
raw/archives/2012_combined_7e3a53_770058fb.pdf,4,6,Jeffrey Heiner,Ogden School Board District #4,2012-06-19,school_board,vision (rendered cover page),
raw/archives/2012_combined_7e3a53_770058fb.pdf,7,11,Jeffrey Harris,Ogden City School Board,2012-06-18,school_board,vision (rendered cover page),
raw/archives/2012_combined_7e3a53_770058fb.pdf,12,15,Jennifer Zundel,Board Member (Ogden),2012-06-18,unclear,vision (rendered cover page),
raw/archives/2012_combined_7e3a53_770058fb.pdf,16,18,Layne Clarke,School Board District 4,2012-06-15,school_board,vision (rendered cover page),
raw/archives/2012_combined_7e3a53_770058fb.pdf,19,21,Shane B Story,Ogden School Board District #5,2012-06-13,school_board,vision (rendered cover page),
raw/archives/2012_combined_7e3a53_770058fb.pdf,22,24,Jim Hutchins,Ogden City School Board,2012-06-18,school_board,vision (rendered cover page),
raw/archives/2012_combined_7e3a53_770058fb.pdf,25,27,Clark Hogan,Ogden School Board District 5,2012-06-19,school_board,vision (rendered cover page),
raw/archives/2012_combined_7e3a53_770058fb.pdf,28,30,J. Scott Handy,Ogden School Board Precinct #5,2012-06-13,school_board,vision (rendered cover page),
raw/archives/2012_combined_7e3a53_770058fb.pdf,31,33,Jon S. Ritchie,Weber School District #7,2012-06-13,school_board,vision (rendered cover page),
raw/archives/2012_combined_7e3a53_770058fb.pdf,34,36,Douglas R. Hurst,Weber School Board Precinct #5,2012-06-11,school_board,vision (rendered cover page),
raw/archives/2012_combined_7e3a53_770058fb.pdf,37,39,Richard H. Favero,Weber School Board,2012-06-12,school_board,vision (rendered cover page),
raw/archives/2016_combined_7e3a53_2e3f405d.pdf,1,1,Don E. Belnap,Ogden School Board - District #1,2016-12-08,school_board,vision (rendered cover page),
raw/archives/2016_combined_7e3a53_2e3f405d.pdf,2,4,Nancy Blair,School Board District #5,2016-12-30,school_board,vision (rendered cover page),
raw/archives/2016_combined_7e3a53_2e3f405d.pdf,5,7,Sue Ann K. Burton,Ogden School Board - District 5,2016-12-31,school_board,vision (rendered cover page),
raw/archives/2016_combined_7e3a53_2e3f405d.pdf,8,10,Roger Condie,,2017-01-04,unclear,vision (rendered cover page),office field left blank / not stated on the form
raw/archives/2016_combined_7e3a53_2e3f405d.pdf,11,13,Richard H. Favero,Weber County School Board,2016-12-08,school_board,vision (rendered cover page),
