election_cycle,candidate,office_listed,date_filed_listed,original_url,listed_on,status,also_in_archive_pdf
2018,Chris Allred,County Attorney,2018-10-25,http://www.weberelections.com/documents/reports/allred_oct2018.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20181212164241 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,NO — this candidate has zero retained filings for this cycle
2018,Chris Allred,County Attorney,2019-01-07,http://www.weberelections.com/documents/reports/allred.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20201016162731 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,NO — this candidate has zero retained filings for this cycle
2018,David Allen MacInnes,County Sheriff,2018-06-15,http://www.weberelections.com/documents/reports/MacInnes_June18.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20181212164241 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,NO — this candidate has zero retained filings for this cycle
2018,David Allen MacInnes,County Sheriff,2018-07-25,http://www.weberelections.com/documents/reports/macinnis_july2018.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20181212164241 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,NO — this candidate has zero retained filings for this cycle
2018,Gage Froerer,County Commissioner A,2018-06-19,http://www.weberelections.com/documents/reports/froerer_june18.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20181212164241 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,yes (a different report by the same candidate is retained)
2018,Gage Froerer,County Commissioner Seat A,2018-10-23,http://www.weberelections.com/documents/reports/froerer_oct2018.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20181212164241 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,yes (a different report by the same candidate is retained)
2018,Gage Froerer,County Commissioner A,2019-01-07,http://www.weberelections.com/documents/reports/froerer_final.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20201016162731 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,yes (a different report by the same candidate is retained)
2018,James Ebert,County Commissioner A,2018-06-19,http://www.weberelections.com/documents/reports/ebert_june18.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20181212164241 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,NO — this candidate has zero retained filings for this cycle
2018,James Ebert,County Commissioner A,2018-07-26,http://www.weberelections.com/documents/reports/ebert_July2018.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20181212164241 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,NO — this candidate has zero retained filings for this cycle
2018,James J. Couts,County Commissioner A,2018-06-19,http://www.weberelections.com/documents/reports/couts_june18.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20181212164241 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,NO — this candidate has zero retained filings for this cycle
