candidate,office,seat,election_year,filing_date,reporting_period,date,vendor_raw,vendor_normalized,purpose,amount,in_kind,is_incremental,source_filing,document_id,line_no,extraction_confidence,extract_method,needs_review,geometry
Michelle Tait,County Commisioner Seat A,,2026,2026-04-02,7 days before candidates' convention (Republican Party),2026-01-08,Weber County Elections,Weber County Elections,Election Filing,931.39,False,True,raw/y2026/2026_ugd_92078f_163de27d.pdf,2026_ugd_92078f_163de27d,179,high,weber_polimorphic/text,0,p4:l179:c48-54
Michelle Tait,County Commisioner Seat A,,2026,2026-04-02,7 days before candidates' convention (Republican Party),2026-03-05,Campaign Partner,Campaign Partner,Website,29.00,False,True,raw/y2026/2026_ugd_92078f_163de27d.pdf,2026_ugd_92078f_163de27d,197,high,weber_polimorphic/text,0,p4:l197:c48-50
Michelle Tait,County Commisioner Seat A,,2026,2026-04-02,7 days before candidates' convention (Republican Party),2026-03-20,Weber County Republican Party,Weber County Republican Party,Lincoln Luncheon,150.00,False,True,raw/y2026/2026_ugd_92078f_163de27d.pdf,2026_ugd_92078f_163de27d,215,high,weber_polimorphic/text,0,p4:l215:c48-51
Michelle Tait,County Commisioner Seat A,,2026,2026-04-02,7 days before candidates' convention (Republican Party),2026-03-21,River Print,River Print,Postcard Mailing,391.64,False,True,raw/y2026/2026_ugd_92078f_163de27d.pdf,2026_ugd_92078f_163de27d,243,high,weber_polimorphic/text,0,p5:l243:c48-54
Michelle Tait,County Commisioner Seat A,,2026,2026-04-02,7 days before candidates' convention (Republican Party),2026-03-30,Amazon,Amazon,Booth Supplies,63.25,False,True,raw/y2026/2026_ugd_92078f_163de27d.pdf,2026_ugd_92078f_163de27d,261,high,weber_polimorphic/text,0,p5:l261:c48-53
Michelle Tait,County Commisioner Seat A,,2026,2026-04-02,7 days before candidates' convention (Republican Party),2026-03-31,River Print,River Print,Signs and Flyers,407.82,False,True,raw/y2026/2026_ugd_92078f_163de27d.pdf,2026_ugd_92078f_163de27d,289,high,weber_polimorphic/text,0,p6:l289:c43-49
Gary C New,County Commissioner,,2026,2026-03-20,7 days before candidates' convention (Democratic Party and Forward Party),2026-01-01,Spaceship Inc,Spaceship Inc,Domain Name Registrations (Loan),13.72,False,True,raw/y2026/2026_ugd_92078f_863a82a7.pdf,2026_ugd_92078f_863a82a7,135,high,weber_polimorphic/text,0,p3:l135:c49-54
Gary C New,County Commissioner,,2026,2026-03-20,7 days before candidates' convention (Democratic Party and Forward Party),2026-01-06,Weber County Elections,Weber County Elections,Candidate Filing Fee (Loan),931.39,False,True,raw/y2026/2026_ugd_92078f_863a82a7.pdf,2026_ugd_92078f_863a82a7,153,high,weber_polimorphic/text,0,p3:l153:c49-55
Gary C New,County Commissioner,,2026,2026-03-20,7 days before candidates' convention (Democratic Party and Forward Party),2026-03-11,UTOG Restaurant,Utog Restaurant,Campaign Strategy Luncheon (Loan),55.08,False,True,raw/y2026/2026_ugd_92078f_863a82a7.pdf,2026_ugd_92078f_863a82a7,181,high,weber_polimorphic/text,0,p4:l181:c43-48
Jon Beesley,Weber county commissioners seat b,,2026,2026-04-03,7 days before candidates' convention (Republican Party),2026-03-31,Ship Mates LLC,Ship Mates Llc,Printed materials and signs,811.61,False,True,raw/y2026/2026_ugd_92078f_916755f7.pdf,2026_ugd_92078f_916755f7,191,high,weber_polimorphic/text,0,p4:l191:c50-56
Jon Beesley,Weber county commissioners seat b,,2026,2026-04-03,7 days before candidates' convention (Republican Party),2026-04-01,Ship Mates LLC,Ship Mates Llc,Printed stickers,56.31,False,True,raw/y2026/2026_ugd_92078f_916755f7.pdf,2026_ugd_92078f_916755f7,209,high,weber_polimorphic/text,0,p4:l209:c50-55
