date,year,title,slug,path,source,source_url,format
2020-01-08,2020,City Council Meeting - Joint Work Session,city-council-meeting-joint-work-session,minutes/2020/2020-01-06/2020-01-08_city-council-meeting-joint-work-session.md,civicclerk,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=811,plainText=true)",text
2020-01-08,2020,City Council Meeting - Regular Agenda,city-council-meeting-regular,minutes/2020/2020-01-06/2020-01-08_city-council-meeting-regular.md,civicclerk,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=809,plainText=true)",text
2020-01-22,2020,City Council Meeting - Regular Agenda,city-council-meeting-regular,minutes/2020/2020-01-20/2020-01-22_city-council-meeting-regular.md,civicclerk,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=819,plainText=true)",text
2020-01-24,2020,City Council Meeting - Planning Retreat Agenda,city-council-meeting-planning-retreat,minutes/2020/2020-01-20/2020-01-24_city-council-meeting-planning-retreat.md,civicclerk,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=821,plainText=true)",text
2020-02-12,2020,City Council Meeting - Regular Agenda,city-council-meeting-regular,minutes/2020/2020-02-10/2020-02-12_city-council-meeting-regular.md,civicclerk,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=826,plainText=true)",text
2020-02-24,2020,Joint Planning Commission and City Council Meeting,joint-planning-commission-and-city-council-meeting,minutes/2020/2020-02-24/2020-02-24_joint-planning-commission-and-city-council-meeting.md,civicclerk,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=832,plainText=true)",text
2020-02-26,2020,City Council Meeting - Regular Agenda,city-council-meeting-regular,minutes/2020/2020-02-24/2020-02-26_city-council-meeting-regular.md,civicclerk,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=834,plainText=true)",text
2020-03-11,2020,City Council Meeting - Regular Agenda,city-council-meeting-regular,minutes/2020/2020-03-09/2020-03-11_city-council-meeting-regular.md,civicclerk,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=838,plainText=true)",text
2020-04-01,2020,City Council Meeting - Special Joint Session -Amended,city-council-meeting-special-joint-session,minutes/2020/2020-03-30/2020-04-01_city-council-meeting-special-joint-session.md,civicclerk,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=843,plainText=true)",text
2020-04-08,2020,City Council Meeting - Regular Agenda,city-council-meeting-regular,minutes/2020/2020-04-06/2020-04-08_city-council-meeting-regular.md,civicclerk,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=847,plainText=true)",text
2020-05-13,2020,City Council Meeting - Regular Agenda,city-council-meeting-regular,minutes/2020/2020-05-11/2020-05-13_city-council-meeting-regular.md,civicclerk,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=857,plainText=true)",text
2020-06-24,2020,City Council Meeting - Regular Agenda,city-council-meeting-regular,minutes/2020/2020-06-22/2020-06-24_city-council-meeting-regular.md,pmn,https://www.utah.gov/pmn/files/618419.pdf,text
2020-07-08,2020,City Council Meeting - Regular Agenda,city-council-meeting-regular,minutes/2020/2020-07-06/2020-07-08_city-council-meeting-regular.md,civicclerk,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=883,plainText=true)",text
2020-07-22,2020,City Council Meeting - Regular Agenda,city-council-meeting-regular,minutes/2020/2020-07-20/2020-07-22_city-council-meeting-regular.md,civicclerk,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=887,plainText=true)",text
2020-08-12,2020,City Council Meeting - Regular Agenda,city-council-meeting-regular,minutes/2020/2020-08-10/2020-08-12_city-council-meeting-regular.md,civicclerk,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=892,plainText=true)",text
2020-08-26,2020,City Council Meeting - Regular Agenda,city-council-meeting-regular,minutes/2020/2020-08-24/2020-08-26_city-council-meeting-regular.md,civicclerk,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=895,plainText=true)",text
2020-09-09,2020,City Council Meeting - Regular Agenda,city-council-meeting-regular,minutes/2020/2020-09-07/2020-09-09_city-council-meeting-regular.md,civicclerk,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=900,plainText=true)",text
2020-09-23,2020,City Council Meeting - Regular Agenda,city-council-meeting-regular,minutes/2020/2020-09-21/2020-09-23_city-council-meeting-regular.md,civicclerk-ocr,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=905,plainText=false)",ocr
2020-10-14,2020,City Council Meeting - Regular Agenda,city-council-meeting-regular,minutes/2020/2020-10-12/2020-10-14_city-council-meeting-regular.md,civicclerk,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=908,plainText=true)",text
2020-10-28,2020,City Council - Regular Agenda,city-council-regular,minutes/2020/2020-10-26/2020-10-28_city-council-regular.md,civicclerk,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=914,plainText=true)",text
2020-11-11,2020,City Council Meeting - Regular Agenda,city-council-meeting-regular,minutes/2020/2020-11-09/2020-11-11_city-council-meeting-regular.md,civicclerk,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=918,plainText=true)",text
2020-11-24,2020,City Council Meeting - Special Agenda,city-council-meeting-special,minutes/2020/2020-11-23/2020-11-24_city-council-meeting-special.md,civicclerk,"https://vineyardut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=921,plainText=true)",text
