week_tuesday,period_start,n_comments,n_meetings,n_motions,n_contested,meeting_types
2020-01-07,2020-01-01,0,2,0,0,formal meeting; work session
2020-01-14,2020-01-08,0,1,0,0,work session
2020-01-21,2020-01-15,0,4,0,0,formal meeting; work session
2020-02-04,2020-01-29,0,2,0,0,formal meeting; work session
2020-02-11,2020-02-05,0,1,0,0,work session
2020-02-18,2020-02-12,0,2,0,0,formal meeting; work session
2020-03-03,2020-02-26,0,2,0,0,formal meeting; work session
2020-03-17,2020-03-11,0,2,0,0,formal meeting; work session
2020-03-24,2020-03-18,17,2,0,0,formal meeting; work session
2020-04-07,2020-04-01,138,2,0,0,formal meeting; work session
2020-04-14,2020-04-08,0,2,0,0,formal meeting; work session
2020-04-21,2020-04-15,15,2,0,0,formal meeting; work session
2020-05-05,2020-04-29,39,2,0,0,formal meeting; work session
2020-05-12,2020-05-06,0,1,0,0,work session
2020-05-19,2020-05-13,41,2,0,0,formal meeting; work session
2020-05-26,2020-05-20,1,1,0,0,work session
2020-06-02,2020-05-27,1363,3,0,0,formal meeting; work session
2020-06-09,2020-06-03,1864,2,0,0,formal meeting; work session
2020-06-16,2020-06-10,2377,2,0,0,work session
2020-06-23,2020-06-17,302,0,0,0,
2020-06-30,2020-06-24,59,0,0,0,
2020-07-07,2020-07-01,24,4,0,0,formal meeting; work session
2020-07-14,2020-07-08,30,2,0,0,formal meeting; work session
2020-07-21,2020-07-15,139,0,0,0,
2020-07-28,2020-07-22,33,0,0,0,
2020-08-04,2020-07-29,18,0,0,0,
2020-08-11,2020-08-05,16,3,0,0,formal meeting; formal meeting 2; work session
2020-08-18,2020-08-12,1,2,0,0,formal meeting; work session
2020-08-25,2020-08-19,3,0,0,0,
2020-09-01,2020-08-26,11,2,0,0,formal meeting; work session
2020-09-08,2020-09-02,5,0,0,0,
2020-09-15,2020-09-09,9,2,0,0,formal meeting; work session
2020-09-22,2020-09-16,2,0,0,0,
2020-09-29,2020-09-23,5,1,0,0,work session
2020-10-06,2020-09-30,14,2,0,0,formal meeting; work session
2020-10-13,2020-10-07,5,1,0,0,work session
2020-10-20,2020-10-14,5,2,0,0,formal meeting; work session
2020-10-27,2020-10-21,2,0,0,0,
2020-11-03,2020-10-28,3,1,0,0,formal meeting
2020-11-10,2020-11-04,23,2,0,0,formal meeting; work session
2020-11-17,2020-11-11,5,2,0,0,formal meeting; work session
2020-11-24,2020-11-18,2,0,0,0,
2020-12-01,2020-11-25,0,2,0,0,formal meeting; work session
2020-12-08,2020-12-02,4,2,0,0,formal meeting; work session
2020-12-15,2020-12-09,4,1,0,0,formal meeting
2020-12-22,2020-12-16,2,0,0,0,
2020-12-29,2020-12-23,2,0,0,0,
2021-01-05,2020-12-30,6,2,7,0,council formal meeting; council work session
2021-01-12,2021-01-06,10,1,1,0,council work session
2021-01-19,2021-01-13,17,2,7,0,council formal meeting; council work session
2021-01-26,2021-01-20,21,0,0,0,
2021-02-02,2021-01-27,0,2,5,0,council formal meeting; council work session
