year,election_type,office,district,contest,precinct,candidate,votes,suppressed
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3801,TROY E. CHISHOLM,99,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3801,ROD L. FLANIGAN,157,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3801,BRUCE M. KARTCHNER,116,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3801,MARTHA SPEED,78,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3801,DON T. WHITE,60,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3801,Write-in,0,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3802,TROY E. CHISHOLM,120,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3802,ROD L. FLANIGAN,232,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3802,BRUCE M. KARTCHNER,162,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3802,MARTHA SPEED,76,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3802,DON T. WHITE,132,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3802,Write-in,14,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3803,TROY E. CHISHOLM,170,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3803,ROD L. FLANIGAN,296,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3803,BRUCE M. KARTCHNER,201,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3803,MARTHA SPEED,150,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3803,DON T. WHITE,183,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3803,Write-in,9,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3804,TROY E. CHISHOLM,90,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3804,ROD L. FLANIGAN,162,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3804,BRUCE M. KARTCHNER,111,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3804,MARTHA SPEED,79,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3804,DON T. WHITE,74,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3804,Write-in,5,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3805,TROY E. CHISHOLM,115,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3805,ROD L. FLANIGAN,162,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3805,BRUCE M. KARTCHNER,212,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3805,MARTHA SPEED,157,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3805,DON T. WHITE,66,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3805,Write-in,3,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3806,TROY E. CHISHOLM,123,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3806,ROD L. FLANIGAN,166,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3806,BRUCE M. KARTCHNER,112,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3806,MARTHA SPEED,74,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3806,DON T. WHITE,98,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,3806,Write-in,5,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3801,TROY E CHISHOLM,22,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3801,ROD L. FLANIGAN,20,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3801,PATI HOGLUND,4,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3801,BRUCE M. KARTCHNER,34,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3801,JESSE KELLEY,33,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3801,STEVEN LEVESQUE,9,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3801,TROY G. RICKS,2,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3801,MARTHA SPEED,41,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3801,HEIREANN THORNLEY,42,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3801,DON T. WHITE,16,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3802,TROY E CHISHOLM,31,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3802,ROD L. FLANIGAN,54,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3802,PATI HOGLUND,24,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3802,BRUCE M. KARTCHNER,60,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3802,JESSE KELLEY,22,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3802,STEVEN LEVESQUE,41,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3802,TROY G. RICKS,25,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3802,MARTHA SPEED,47,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3802,HEIREANN THORNLEY,11,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3802,DON T. WHITE,36,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3803,TROY E CHISHOLM,67,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3803,ROD L. FLANIGAN,76,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3803,PATI HOGLUND,28,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3803,BRUCE M. KARTCHNER,73,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3803,JESSE KELLEY,68,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3803,STEVEN LEVESQUE,36,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3803,TROY G. RICKS,25,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3803,MARTHA SPEED,92,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3803,HEIREANN THORNLEY,20,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3803,DON T. WHITE,82,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3804,TROY E CHISHOLM,40,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3804,ROD L. FLANIGAN,60,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3804,PATI HOGLUND,25,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3804,BRUCE M. KARTCHNER,34,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3804,JESSE KELLEY,19,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3804,STEVEN LEVESQUE,15,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3804,TROY G. RICKS,21,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3804,MARTHA SPEED,36,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3804,HEIREANN THORNLEY,17,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3804,DON T. WHITE,20,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3805,TROY E CHISHOLM,44,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3805,ROD L. FLANIGAN,34,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3805,PATI HOGLUND,13,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3805,BRUCE M. KARTCHNER,94,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3805,JESSE KELLEY,53,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3805,STEVEN LEVESQUE,7,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3805,TROY G. RICKS,22,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3805,MARTHA SPEED,85,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3805,HEIREANN THORNLEY,8,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3805,DON T. WHITE,19,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3806,TROY E CHISHOLM,45,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3806,ROD L. FLANIGAN,33,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3806,PATI HOGLUND,20,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3806,BRUCE M. KARTCHNER,34,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3806,JESSE KELLEY,33,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3806,STEVEN LEVESQUE,50,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3806,TROY G. RICKS,28,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3806,MARTHA SPEED,29,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3806,HEIREANN THORNLEY,23,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3806,DON T. WHITE,26,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3801,ALAN JACKSON,67,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3801,NANCY LORD,90,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3801,BILL MAXWELL,67,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3801,NOELL NELSON,73,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3801,Write-in,0,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3802,ALAN JACKSON,246,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3802,NANCY LORD,82,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3802,BILL MAXWELL,107,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3802,NOELL NELSON,223,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3802,Write-in,7,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3803,ALAN JACKSON,192,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3803,NANCY LORD,134,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3803,BILL MAXWELL,157,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3803,NOELL NELSON,152,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3803,Write-in,2,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3804,ALAN JACKSON,135,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3804,NANCY LORD,66,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3804,BILL MAXWELL,67,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3804,NOELL NELSON,123,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3804,Write-in,0,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3805,ALAN JACKSON,77,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3805,NANCY LORD,183,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3805,BILL MAXWELL,171,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3805,NOELL NELSON,51,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3805,Write-in,0,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3806,ALAN JACKSON,92,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3806,NANCY LORD,66,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3806,BILL MAXWELL,60,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3806,NOELL NELSON,91,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,3806,Write-in,2,False
2009,municipal general,Mayor,,Bluffdale City Mayor,3801,KIM E. FULLER,54,False
2009,municipal general,Mayor,,Bluffdale City Mayor,3801,DERK P. TIMOTHY,99,False
2009,municipal general,Mayor,,Bluffdale City Mayor,3801,Write-in,0,False
2009,municipal general,Mayor,,Bluffdale City Mayor,3802,KIM E. FULLER,217,False
2009,municipal general,Mayor,,Bluffdale City Mayor,3802,DERK P. TIMOTHY,127,False
2009,municipal general,Mayor,,Bluffdale City Mayor,3802,Write-in,2,False
2009,municipal general,Mayor,,Bluffdale City Mayor,3803,KIM E. FULLER,100,False
2009,municipal general,Mayor,,Bluffdale City Mayor,3803,DERK P. TIMOTHY,227,False
2009,municipal general,Mayor,,Bluffdale City Mayor,3803,Write-in,0,False
2009,municipal general,Mayor,,Bluffdale City Mayor,3804,KIM E. FULLER,87,False
2009,municipal general,Mayor,,Bluffdale City Mayor,3804,DERK P. TIMOTHY,106,False
2009,municipal general,Mayor,,Bluffdale City Mayor,3804,Write-in,3,False
2009,municipal general,Mayor,,Bluffdale City Mayor,3805,KIM E. FULLER,82,False
2009,municipal general,Mayor,,Bluffdale City Mayor,3805,DERK P. TIMOTHY,153,False
2009,municipal general,Mayor,,Bluffdale City Mayor,3805,Write-in,6,False
2009,municipal general,Mayor,,Bluffdale City Mayor,3806,KIM E. FULLER,60,False
2009,municipal general,Mayor,,Bluffdale City Mayor,3806,DERK P. TIMOTHY,100,False
2009,municipal general,Mayor,,Bluffdale City Mayor,3806,Write-in,0,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3801,J. LEE BERTOCH,15,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3801,MORRIS R. CLARK,33,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3801,DEBBIE A. HOLT,14,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3801,ALAN JACKSON,27,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3801,NANCY LORD,52,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3801,BILL MAXWELL,40,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3801,NOELL NELSON,25,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3801,TY T. NIELSEN,18,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3801,HERBERT D. WILLIAMS,22,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3802,J. LEE BERTOCH,28,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3802,MORRIS R. CLARK,49,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3802,DEBBIE A. HOLT,41,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3802,ALAN JACKSON,87,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3802,NANCY LORD,32,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3802,BILL MAXWELL,45,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3802,NOELL NELSON,71,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3802,TY T. NIELSEN,15,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3802,HERBERT D. WILLIAMS,73,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3803,J. LEE BERTOCH,60,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3803,MORRIS R. CLARK,57,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3803,DEBBIE A. HOLT,34,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3803,ALAN JACKSON,65,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3803,NANCY LORD,71,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3803,BILL MAXWELL,88,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3803,NOELL NELSON,69,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3803,TY T. NIELSEN,39,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3803,HERBERT D. WILLIAMS,27,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3804,J. LEE BERTOCH,13,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3804,MORRIS R. CLARK,25,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3804,DEBBIE A. HOLT,17,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3804,ALAN JACKSON,69,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3804,NANCY LORD,32,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3804,BILL MAXWELL,26,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3804,NOELL NELSON,39,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3804,TY T. NIELSEN,32,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3804,HERBERT D. WILLIAMS,14,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3805,J. LEE BERTOCH,18,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3805,MORRIS R. CLARK,15,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3805,DEBBIE A. HOLT,18,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3805,ALAN JACKSON,19,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3805,NANCY LORD,98,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3805,BILL MAXWELL,114,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3805,NOELL NELSON,30,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3805,TY T. NIELSEN,5,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3805,HERBERT D. WILLIAMS,12,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3806,J. LEE BERTOCH,27,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3806,MORRIS R. CLARK,33,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3806,DEBBIE A. HOLT,8,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3806,ALAN JACKSON,29,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3806,NANCY LORD,40,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3806,BILL MAXWELL,29,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3806,NOELL NELSON,36,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3806,TY T. NIELSEN,8,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,3806,HERBERT D. WILLIAMS,36,False
2009,municipal primary,Mayor,,Bluffdale City Mayor,3801,CLAUDIA ANDERSON,16,False
2009,municipal primary,Mayor,,Bluffdale City Mayor,3801,KIM E. FULLER,30,False
2009,municipal primary,Mayor,,Bluffdale City Mayor,3801,BRUCE KARTCHNER,22,False
2009,municipal primary,Mayor,,Bluffdale City Mayor,3801,WAYNE M. MORTIMER,24,False
2009,municipal primary,Mayor,,Bluffdale City Mayor,3801,DERK P. TIMOTHY,33,False
2009,municipal primary,Mayor,,Bluffdale City Mayor,3802,CLAUDIA ANDERSON,43,False
2009,municipal primary,Mayor,,Bluffdale City Mayor,3802,KIM E. FULLER,74,False
2009,municipal primary,Mayor,,Bluffdale City Mayor,3802,BRUCE KARTCHNER,37,False
2009,municipal primary,Mayor,,Bluffdale City Mayor,3802,WAYNE M. MORTIMER,36,False
2009,municipal primary,Mayor,,Bluffdale City Mayor,3802,DERK P. TIMOTHY,39,False
2009,municipal primary,Mayor,,Bluffdale City Mayor,3803,CLAUDIA ANDERSON,30,False
2009,municipal primary,Mayor,,Bluffdale City Mayor,3803,KIM E. FULLER,54,False
2009,municipal primary,Mayor,,Bluffdale City Mayor,3803,BRUCE KARTCHNER,35,False
2009,municipal primary,Mayor,,Bluffdale City Mayor,3803,WAYNE M. MORTIMER,65,False
2009,municipal primary,Mayor,,Bluffdale City Mayor,3803,DERK P. TIMOTHY,83,False
2009,municipal primary,Mayor,,Bluffdale City Mayor,3804,CLAUDIA ANDERSON,10,False
