year,election_type,office,district,contest,contest_verbatim,n_seats,n_candidates,voting_method,total_votes,total_first_choice_votes,winner,winner_votes,winner_pct,runner_up,runner_up_votes,margin_votes,margin_pct,registered_voters,ballots_cast,turnout_pct,uncontested,suppressed_precincts,note,source_file
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,BLUFFDALE CITY COUNCIL AT LARGE,3,6,plurality,,4069,ROD L. FLANIGAN,1175,28.88,MARTHA SPEED,614,103,2.53,3570,,,False,False,winners: ROD L. FLANIGAN (1175); BRUCE M. KARTCHNER (914); TROY E. CHISHOLM (717),2007-11-06-municipal-general-sovc.xls
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,BLUFFDALE CITY COUNCIL AT LARGE,3,10,plurality,,2128,MARTHA SPEED,330,15.51,STEVEN LEVESQUE,158,41,1.93,3544,,,False,False,top 6 advance,2007-09-11-municipal-primary-sovc.xls
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,BLUFFDALE CITY COUNCIL AT LARGE,2,5,plurality,,2783,ALAN JACKSON,809,29.07,BILL MAXWELL,629,84,3.02,,,,False,False,winners: ALAN JACKSON (809); NOELL NELSON (713),2009-11-03-municipal-general-sovc.xls
2009,municipal general,Mayor,,Bluffdale City Mayor,BLUFFDALE CITY MAYOR,1,3,plurality,,1423,DERK P. TIMOTHY,812,57.06,KIM E. FULLER,600,212,14.9,,,,False,False,,2009-11-03-municipal-general-sovc.xls
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,BLUFFDALE CITY COUNCIL AT LARGE,2,9,plurality,,2039,BILL MAXWELL,342,16.77,MORRIS R. CLARK,212,58,2.84,,,,False,False,top 4 advance,2009-09-15-municipal-primary-sovc.xls
2009,municipal primary,Mayor,,Bluffdale City Mayor,BLUFFDALE CITY MAYOR,1,5,plurality,,1053,KIM E. FULLER,243,23.08,BRUCE KARTCHNER,234,6,0.57,,,,False,False,top 2 advance,2009-09-15-municipal-primary-sovc.xls
2011,municipal general,Council,At-Large,Bluffdale City Council At-Large,Bluffdale City Coun @ Lg,3,7,plurality,,2672,HEATHER PEHRSON,796,29.79,CRAIG L. BRIGGS,358,8,0.3,3662,,,False,False,winners: HEATHER PEHRSON (796); BRUCE M. KARTCHNER (459); TY NIELSEN (366),2011-11-08-municipal-general-sovc.xlsx
2013,municipal general,Council,At-Large,Bluffdale City Council At-Large,BLUFFDALE CITY COUNCIL AT LARGE,2,4,plurality,,2265,ALAN JACKSON,872,38.5,WILLIAM UNDERWOOD,589,204,9.01,3829,,,False,False,winners: ALAN JACKSON (872); JUSTIN WESTWOOD (793),2013-11-05-municipal-general-sovc.xlsx
2013,municipal general,Mayor,,Bluffdale City Mayor,BLUFFDALE CITY MAYOR,1,2,plurality,,1276,DERK P. TIMOTHY,1245,97.57,Write-in,31,1214,95.14,3829,,,False,False,,2013-11-05-municipal-general-sovc.xlsx
2015,municipal general,Council,At-Large,Bluffdale City Council At-Large,BLUFFDALE CITY COUNCIL AT LARGE,3,5,plurality,,3985,JAMES L. WINGATE,1031,25.87,NANCY LORD,769,135,3.39,4225,,,False,False,winners: JAMES L. WINGATE (1031); BOYD PREECE (935); TY T. NIELSEN (904),2015-11-03-municipal-general-election-statement-of-votes-cast.zip
2017,municipal general,Council,At-Large,Bluffdale City Council At-Large,BLUFFDALE CITY CNCL AT LARGE,2,4,plurality,,2511,ALAN JACKSON,744,29.63,CONNIE ROBBINS,704,4,0.16,5661,,,False,False,winners: ALAN JACKSON (744); WENDY W. ASTON (708),2017-11-07-general-election-statement-of-votes-cast.zip
2017,municipal general,Council,At-Large,Bluffdale City Council At-Large (2-Year),BLUFFDALE CITY CNCL AT LRG 2YR,1,1,plurality,,1234,DAVE KALLAS,1234,100.0,,0,1234,100.0,5661,,,True,False,,2017-11-07-general-election-statement-of-votes-cast.zip
2017,municipal general,Mayor,,Bluffdale City Mayor,BLUFFDALE CITY MAYOR,1,1,plurality,,1238,DERK POWELL TIMOTHY,1238,100.0,,0,1238,100.0,5661,,,True,False,,2017-11-07-general-election-statement-of-votes-cast.zip
2017,municipal primary,Council,At-Large,Bluffdale City Council At-Large,BLUFFDALE CITY COUNCIL AT LARGE,2,4,plurality,,1018,DAVE KALLAS,553,54.32,,,,,5566,,,False,False,all candidates advanced (no elimination),2017-08-15-primary-election-statement-of-votes-cast.zip
2019,municipal general,Council,At-Large,Bluffdale City Council At-Large,BLUFFDALE CITY COUNCIL AT LARGE 4 YEAR,3,5,plurality,,4977,DAVE KALLAS,1120,22.5,BOYD A. PREECE,932,112,2.25,6866,,,False,False,winners: DAVE KALLAS (1120); JEFF GASTON (1054); MARK R. HALES (1044),2019-11-05-general-election-sovc.xlsx
2019,municipal general,Council,At-Large,Bluffdale City Council At-Large (2-Year),BLUFFDALE CITY COUNCIL AT LARGE 2 YEAR,1,2,plurality,,2047,TRACI CROCKETT,1140,55.69,WARREN L. JAMES,907,233,11.38,6866,,,False,False,,2019-11-05-general-election-sovc.xlsx
2019,municipal primary,Council,At-Large,Bluffdale City Council At-Large,BLUFFDALE CITY COUNCIL AT LARGE 4 YEAR,3,8,plurality,,4092,DAVE KALLAS,855,20.89,BLAIN DIETRICH,335,18,0.44,6731,,,False,False,top 6 advance,2019-08-13-municipal-primary-sovc.xlsx
2019,municipal primary,Council,At-Large,Bluffdale City Council At-Large (2-Year),BLUFFDALE CITY COUNCIL AT LARGE 2 YEAR,1,5,plurality,,1588,TRACI CROCKETT,452,28.46,MICHELLE A. LOVE-DAY,386,16,1.01,6731,,,False,False,top 2 advance,2019-08-13-municipal-primary-sovc.xlsx
2021,municipal general,Council,At-Large,Bluffdale City Council At-Large,CITY OF BLUFFDALE COUNCIL AT-LARGE,2,5,RCV,,3188,TRACI CROCKETT,1098,34.44,CONNIE ROBBINS,709,124,3.89,9018,3344,37.08,False,False,"winners: TRACI CROCKETT (1098); WENDY W. ASTON (833) | RCV pilot (2-seat, sequential ranked-choice); stored figures are FIRST-CHOICE totals; RCV winners: Wendy Aston (seat 1), Traci Crockett (seat 2)",november-2-2021-general-election-statement-of-votes-cast.xlsx
2021,municipal general,Mayor,,Bluffdale City Mayor,CITY OF BLUFFDALE MAYOR,1,2,RCV,,3303,NATALIE HALL,2497,75.6,JOHN ROBERTS,806,1691,51.2,9018,3344,37.08,False,False,RCV pilot; 2 candidates (first round decisive),november-2-2021-general-election-statement-of-votes-cast.xlsx
2023,municipal general,Council,At-Large,Bluffdale City Council At-Large,BLUFFDALE COUNCIL AT-LARGE,3,6,plurality,,7623,STEVE AUSTIN,1460,19.15,MARK HALES,1387,10,0.13,9341,3156,33.79,False,False,winners: STEVE AUSTIN (1460); GREGORY D. WILDING (1429); ALAN W. LORD (1397),statementofvotescastrpt-official-report-12-05-2023-5.22pm.xlsx
2023,municipal primary,Council,At-Large,Bluffdale City Council At-Large,Bluffdale Council At-Large,3,10,plurality,,4802,GREGORY D. WILDING,759,15.81,ERIK SWANSON,379,35,0.73,9389,1916,20.41,False,False,top 6 advance,statementofvotescastrpt.xlsx
