week_ending,period_start,n_comments,n_meetings,n_motions,n_contested,meeting_types
2018-10-30,2018-10-24,0,1,4,0,metro township council meeting 459655
2018-12-04,2018-11-28,0,1,8,0,metro township council meeting 466809
2018-12-25,2018-12-19,0,1,8,0,metro township council meeting 466807
2019-01-29,2019-01-23,0,1,5,0,metro township council meeting 475005
2019-02-05,2019-01-30,0,1,0,0,metro township council meeting 475007
2019-03-05,2019-02-27,0,1,5,0,metro township council meeting 522675
2019-04-02,2019-03-27,0,1,1,0,metro township council meeting 522677
2019-04-09,2019-04-03,0,1,0,0,metro township council emergency meeting 522679
2019-04-30,2019-04-24,0,1,0,0,metro township council meeting 522681
2019-05-28,2019-05-22,0,1,5,0,metro township council meeting 522683
2019-06-25,2019-06-19,0,1,4,0,metro township council meeting 522685
2019-08-27,2019-08-21,0,1,2,0,metro township council meeting 556733
2019-09-24,2019-09-18,0,1,4,0,metro township council meeting 556735
2019-10-29,2019-10-23,0,1,6,0,metro township council meeting 568103
2019-11-19,2019-11-13,0,1,0,0,board of canvassers meeting 568101
2019-11-26,2019-11-20,0,1,2,0,metro township council meeting 568099
2019-12-17,2019-12-11,0,1,6,0,metro township council meeting 612069
2020-01-28,2020-01-22,0,1,8,0,metro township council meeting 612071
2020-03-03,2020-02-26,0,1,2,0,metro township council meeting 612073
2020-04-28,2020-04-22,0,1,4,0,metro township council meeting 607109
2020-11-17,2020-11-11,0,1,7,0,metro township council meeting 680643
2020-12-22,2020-12-16,0,1,6,0,metro township council meeting 680645
2021-02-02,2021-01-27,0,1,1,0,metro township council meeting 692675
2021-03-02,2021-02-24,0,1,6,1,metro township council meeting 717575
2021-03-09,2021-03-03,0,1,0,0,metro township council meeting 717583
2021-03-16,2021-03-10,0,1,0,0,metro township council meeting 717587
2021-04-27,2021-04-21,0,1,5,0,metro township council meeting 764603
2021-05-18,2021-05-12,0,1,0,0,metro township council meeting 764605
2021-05-25,2021-05-19,0,2,2,0,metro township council meeting 764607; metro township council meeting 764611
2021-06-22,2021-06-16,0,1,2,0,metro township council meeting 764615
2021-07-27,2021-07-21,0,1,1,0,metro township council meeting 764617
2021-08-24,2021-08-18,0,1,3,1,metro township council meeting 764619
2021-09-28,2021-09-22,0,1,5,0,metro township council meeting 805461
2021-10-26,2021-10-20,0,1,4,0,metro township council meeting 805465
2021-11-16,2021-11-10,0,1,9,0,metro township council meeting 820801
2021-12-14,2021-12-08,0,1,1,1,metro township council meeting 820803
2022-01-25,2022-01-19,0,1,4,0,metro township council meeting 840981
2022-02-22,2022-02-16,0,1,1,0,metro township council meeting 827423
2022-03-22,2022-03-16,0,1,5,0,metro township council meeting 865727
2022-04-26,2022-04-20,0,1,4,0,metro township council meeting 857275
2022-05-03,2022-04-27,0,1,0,0,metro township council meeting 865723
2022-05-24,2022-05-18,0,1,4,0,metro township council meeting 865721
2022-06-28,2022-06-22,0,1,2,0,metro township council meeting 882855
2022-07-26,2022-07-20,0,1,1,0,metro township council meeting 882857
2022-08-23,2022-08-17,0,1,1,0,metro township council meeting 895229
2022-09-27,2022-09-21,0,1,3,0,metro township council meeting 904853
