role_id,person_id,body_id,first_seen,last_seen,n_votes
1,1,3,2020-02-04,2025-05-20,15
2,2,1,2026-01-13,2026-06-23,76
3,2,2,2026-05-05,2026-05-26,4
4,2,4,2026-05-05,2026-05-26,4
5,3,1,2024-01-10,2026-06-23,335
6,3,2,2024-05-22,2026-05-26,13
7,3,4,2024-02-14,2026-05-26,31
8,4,3,2023-07-18,2023-12-19,6
9,5,1,2020-01-08,2026-06-23,604
10,5,2,2020-05-13,2026-05-26,24
11,5,4,2020-05-13,2026-05-26,54
12,6,3,2026-04-21,2026-04-21,1
13,7,1,2020-01-08,2023-12-20,521
14,7,2,2020-05-13,2023-05-10,24
15,7,4,2020-05-13,2023-06-28,57
16,8,3,2020-02-18,2021-05-18,5
17,9,1,2020-01-08,2023-12-20,521
18,9,2,2020-05-13,2023-05-10,24
19,9,4,2020-05-13,2023-06-28,57
20,10,3,2024-08-20,2025-09-02,46
21,11,3,2022-04-05,2024-09-17,28
22,12,3,2020-01-21,2025-11-25,47
23,13,1,2026-01-13,2026-06-23,76
24,13,2,2026-05-05,2026-05-26,4
25,13,4,2026-05-05,2026-05-26,4
26,14,3,2025-01-07,2025-11-25,22
27,15,3,2024-05-07,2026-03-03,32
28,16,1,2020-01-08,2026-06-23,855
29,16,2,2020-05-13,2026-05-26,37
30,16,4,2020-05-13,2026-05-26,88
31,17,1,2020-01-08,2025-12-16,780
32,17,2,2020-05-13,2025-05-06,33
33,17,4,2020-05-13,2025-12-16,84
34,18,1,2024-01-10,2026-06-23,335
35,18,2,2024-05-22,2026-05-26,13
36,18,3,2020-02-04,2023-11-14,56
37,18,4,2024-02-14,2026-05-26,31
38,19,3,2020-03-03,2023-12-19,46
39,20,3,2022-11-15,2023-02-07,20
40,21,1,2020-01-08,2023-10-25,507
41,21,2,2020-05-13,2023-05-10,24
42,21,4,2020-05-13,2023-06-28,57
43,22,1,2022-01-12,2025-12-16,511
44,22,2,2022-05-11,2025-05-06,22
45,22,3,2021-02-02,2021-05-18,6
46,22,4,2022-01-12,2025-12-16,61
47,23,1,2023-11-29,2023-12-20,5
48,24,3,2024-06-18,2026-02-03,27
49,25,3,2020-02-18,2025-06-17,67
50,26,1,2020-01-08,2026-06-23,856
51,26,2,2020-05-13,2026-05-26,37
52,26,4,2020-05-13,2026-05-26,88
