precinct,district
SAN001,2
SAN002,2
SAN003,1
SAN004,1
SAN005,1
SAN006,1
SAN007,1
SAN009,1
SAN010,2
SAN011,2
SAN012,2
SAN013,2
SAN014,2
SAN015,2
SAN016,1
SAN018,2
SAN019,2
SAN020,3
SAN021,2
SAN022,3
SAN024,3
SAN026,2
SAN027,3
SAN029,3
SAN030,3
SAN031,3
SAN032,3
SAN033,3
SAN034,3
SAN035,3
SAN036,3
SAN038,3
SAN039,1
SAN040,1
SAN041,1
SAN042,1
SAN043,1
SAN044,1
SAN045,1
SAN048,2
SAN049,2
SAN050,2
SAN051,2
SAN052,2
SAN053,2
SAN054,3
SAN055,3
SAN056,3
SAN057,3
SAN058,3
SAN059,3
SAN060,3
SAN061,1
SAN062,1
SAN063,1
SAN064,1
SAN065,4
SAN066,4
SAN067,4
SAN068,2
SAN069,4
SAN071,4
SAN072,4
SAN073,4
SAN074,4
SAN075,4
SAN076,4
SAN077,3
SAN078,4
SAN079,4
SAN080,3
SAN081,4
SAN082,4
SAN084,4
SAN086,4
SAN087,4
