date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,content_length_bytes,size_mb,stored_locally,cancelled,doc_class,fetch_status,sha256,text_path,text_chars
2022-03-01,Civilian Review Board Regular Meeting Agenda (PDF),CRB,regular,full_packet,https://sslc.gov/AgendaCenter/ViewFile/Agenda/_03012022-1?packet=true,2026-07-13,na,not_retrieved (index-only; fetch source_url on demand),,20375,0.02,no,,,,,,
2022-03-14,Civilian Review Board Regular Meeting Agenda (PDF),CRB,regular,full_packet,https://sslc.gov/AgendaCenter/ViewFile/Agenda/_03142022-2?packet=true,2026-07-13,na,not_retrieved (index-only; fetch source_url on demand),,20550,0.02,no,,,,,,
2022-04-04,Civilian Review Board Regular Meeting Agenda (PDF),CRB,regular,full_packet,https://sslc.gov/AgendaCenter/ViewFile/Agenda/_04042022-3?packet=true,2026-07-13,na,not_retrieved (index-only; fetch source_url on demand),,127408,0.13,no,,,,,,
2022-05-02,Civilian Review Board Regular Meeting Agenda (DOC),CRB,regular,full_packet,https://sslc.gov/AgendaCenter/ViewFile/Agenda/_05022022-4?packet=true,2026-07-13,na,not_retrieved (index-only; fetch source_url on demand),,44032,0.04,no,,,,,,
2022-06-06,Civilian Review Board Regular Meeting Agenda (DOC),CRB,regular,full_packet,https://sslc.gov/AgendaCenter/ViewFile/Agenda/_06062022-5?packet=true,2026-07-13,na,not_retrieved (index-only; fetch source_url on demand),,44032,0.04,no,,,,,,
2022-06-13,Civilian Review Board Regular Meeting Agenda (DOC),CRB,regular,full_packet,https://sslc.gov/AgendaCenter/ViewFile/Agenda/_06132022-6?packet=true,2026-07-13,na,not_retrieved (index-only; fetch source_url on demand),,45056,0.05,no,,,,,,
2022-07-11,Civilian Review Board Regular Meeting Agenda (DOC),CRB,regular,full_packet,https://sslc.gov/AgendaCenter/ViewFile/Agenda/_07112022-9?packet=true,2026-07-13,na,not_retrieved (index-only; fetch source_url on demand),,45056,0.05,no,,,,,,
2022-08-10,Civilian Review Board - Notice of Quorum,CRB,regular,full_packet,https://sslc.gov/AgendaCenter/ViewFile/Agenda/_08102022-8?packet=true,2026-07-13,na,not_retrieved (index-only; fetch source_url on demand),,11887,0.01,no,,,,,,
2022-08-15,Civilian Review Board Regular Meeting Agenda (DOC),CRB,regular,full_packet,https://sslc.gov/AgendaCenter/ViewFile/Agenda/_08152022-10?packet=true,2026-07-13,na,not_retrieved (index-only; fetch source_url on demand),,46080,0.05,no,,,,,,
2022-08-29,Civilian Review Board Regular Meeting Agenda (DOC),CRB,regular,full_packet,https://sslc.gov/AgendaCenter/ViewFile/Agenda/_08292022-7?packet=true,2026-07-13,na,not_retrieved (index-only; fetch source_url on demand),,48128,0.05,no,,,,,,
