year,election_type,office,district,contest,contest_verbatim,n_seats,n_candidates,voting_method,total_votes,total_first_choice_votes,winner,winner_votes,winner_pct,runner_up,runner_up_votes,margin_votes,margin_pct,registered_voters,ballots_cast,turnout_pct,uncontested,suppressed_precincts,note,source_file
2007,municipal general,Council,1,South Jordan City Council District 1,SOUTH JORDAN CITY COUNCIL 1,1,2,plurality,1594,,LEONA WINGER,1553,97.43,Write-in,41,1512,94.86,3835,,,False,False,,2007-11-06-municipal-general-sovc.xls
2007,municipal general,Council,2,South Jordan City Council District 2,SOUTH JORDAN CITY COUNCIL 2,1,3,plurality,1487,,KATHIE L. JOHNSON,754,50.71,GORDON C. MADSEN,730,24,1.61,3589,,,False,False,,2007-11-06-municipal-general-sovc.xls
2007,municipal general,Council,4,South Jordan City Council District 4,SOUTH JORDAN CITY COUNCIL 4,1,3,plurality,1667,,ALETA A. TAYLOR,1005,60.29,DAVID W. COLTON,658,347,20.82,3886,,,False,False,,2007-11-06-municipal-general-sovc.xls
2009,municipal general,Council,3,South Jordan City Council District 3,SOUTH JORDAN COUNCIL DISTRICT 3,1,2,plurality,1145,,BRIAN C. BUTTERS,693,60.52,JOSEPH ROSS,452,241,21.05,,,,False,False,,2009-11-03-municipal-general-sovc.xls
2009,municipal general,Council,5,South Jordan City Council District 5,SOUTH JORDAN COUNCIL DISTRICT 5,1,3,plurality,996,,LARRY SHORT,614,61.65,JOHN C. HEATH,381,233,23.39,,,,False,False,,2009-11-03-municipal-general-sovc.xls
2009,municipal general,Mayor,,South Jordan City Mayor,SOUTH JORDAN CITY MAYOR,1,3,plurality,5901,,W. KENT MONEY,3219,54.55,AARON V. OSMOND,2669,550,9.32,,,,False,False,,2009-11-03-municipal-general-sovc.xls
2009,municipal primary,Mayor,,South Jordan City Mayor,SOUTH JORDAN CITY MAYOR,1,3,plurality,2979,,W. KENT MONEY,1384,46.46,AARON V. OSMOND,1130,254,8.53,,,,False,False,,2009-09-15-municipal-primary-sovc.xls
2011,municipal general,Council,1,South Jordan City Council District 1,SOUTH JORDAN CITY COUNCIL 1,1,3,plurality,1194,,MARK SEETHALER,877,73.45,JIM WRIGHT,309,568,47.57,4948,1201,24.27,False,False,,2011-11-08-municipal-general-sovc.xlsx
2011,municipal general,Council,2,South Jordan City Council District 2,SOUTH JORDAN CITY COUNCIL 2,1,3,plurality,1381,,CHUCK NEWTON,717,51.92,KATHIE JOHNSON,659,58,4.2,5503,1381,25.1,False,False,,2011-11-08-municipal-general-sovc.xlsx
2011,municipal general,Council,4,South Jordan City Council District 4,SOUTH JORDAN CITY COUNCIL 4,1,3,plurality,1023,,STEVE BARNES,589,57.58,ALETA A. TAYLOR,433,156,15.25,5314,1026,19.31,False,False,,2011-11-08-municipal-general-sovc.xlsx
