referral_id,primary_application_id,primary_body,related_application_id,related_body,match_method,confidence,shared_address,subject_score,primary_date,related_date,gap_days,note
1,27,Council,8,RDA,subject,medium,,0.386,2021-06-15,2020-09-01,287,
2,32,Council,309,PlanningCommission,subject,medium,,0.313,2021-07-20,2021-06-22,28,
3,33,Council,252,PlanningCommission,subject,medium,,0.717,2021-08-17,2020-08-25,357,
4,34,Council,317,PlanningCommission,subject,medium,,1.0,2021-09-07,2021-08-24,14,
5,54,Council,56,RDA,subject,medium,,0.329,2022-04-19,2022-04-19,0,
6,59,Council,100,RDA,subject,medium,,0.36,2022-05-03,2023-05-02,-364,
7,65,Council,370,PlanningCommission,subject,medium,,1.0,2022-05-17,2022-05-10,7,
8,91,Council,405,PlanningCommission,subject,medium,,1.0,2023-02-21,2023-02-14,7,
9,107,Council,110,RDA,subject,medium,,1.0,2023-07-18,2023-07-18,0,
10,183,Council,462,PlanningCommission,address,low,9816 s temple; 9828 s temple,0.094,2025-09-02,2025-08-12,21,
11,184,Council,462,PlanningCommission,address+subject,high,9816 s temple; 9828 s temple,0.579,2025-09-02,2025-08-12,21,
12,185,Council,462,PlanningCommission,address,low,9816 s temple; 9828 s temple,0.13,2025-09-02,2025-08-12,21,
13,201,Council,483,PlanningCommission,subject,medium,,0.653,2026-03-03,2026-01-27,35,
