role_id,person_id,body_id,first_seen,last_seen,n_votes
1,1,3,2022-09-13,2023-08-22,45
2,2,1,2020-09-15,2023-03-07,38
3,3,3,2026-04-28,2026-05-26,6
4,4,1,2025-06-17,2025-06-17,1
5,5,1,2020-09-15,2026-05-19,133
6,5,4,2022-06-21,2025-06-03,5
7,6,1,2021-05-18,2026-05-19,134
8,6,4,2025-05-06,2025-06-03,2
9,7,1,2024-01-16,2026-05-19,112
10,7,4,2025-05-06,2025-06-03,2
11,8,3,2022-06-28,2025-05-27,37
12,9,3,2025-06-10,2026-03-10,11
13,10,3,2020-02-25,2020-07-14,23
14,11,3,2021-10-26,2026-02-10,55
15,12,3,2022-06-14,2026-05-26,35
16,13,1,2021-09-21,2026-05-19,128
17,13,4,2025-05-06,2025-06-03,2
18,14,3,2024-04-09,2024-10-22,16
19,15,3,2024-08-13,2026-01-13,30
20,16,3,2020-03-10,2021-10-12,39
21,17,3,2020-05-12,2026-03-10,44
22,18,1,2020-09-15,2026-05-19,196
23,18,4,2022-05-03,2025-06-03,4
24,19,3,2020-02-25,2023-02-14,18
