motion_id,meeting_id,body_id,motion_no,motion_text,motion_type,result_raw,outcome,stage,recommendation,disposition,disposition_method,disposition_confidence,application_id,app_match_method,app_confidence,mover_person_id,seconder_person_id,names_recorded,source_file,provenance
1,1,1,1,"Council Member Harris made a motion to amend the agenda to add a closed session at the end of the meeting to discuss the purchase, exchange, or lease of real property",Contract/Purchase,4-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,13,,0,pmn_backfill/text/2020-01-07_city-council-regular-meeting.txt,pmn_minutes
2,2,1,1,"Council Member McGuire made a motion to nominate Council Member Marlor to be the Mayor Pro Tempore for the meeting, unless Mayor Ramsey joins the meeting",Appointment,4-0 Pass,Pass,council_vote,,,unclassified,low,,,,6,,0,pmn_backfill/text/2020-01-07_city-council-study-meeting.txt,pmn_minutes
3,1,1,2,"Council Member Shelton made a motion to approve the December 3, 2019 Council study meeting minutes and the December 3, 2019 City Council meeting minutes, as printed",Procedural/Administrative,4-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,5,13,0,pmn_backfill/text/2020-01-07_city-council-regular-meeting.txt,pmn_minutes
4,2,1,2,Council Member Shelton made a motion to adjourn,Procedural/Administrative,Unanimous Pass,Pass,council_vote,,procedural,keyword,high,,,,5,6,0,pmn_backfill/text/2020-01-07_city-council-study-meeting.txt,pmn_minutes
5,1,1,3,"Council Member Shelton made a motion to approve the Consent Items I.1., I.2., I.3., and I.4., as described",Procedural/Administrative,4-0 Pass,Pass,council_vote,,approve,keyword,high,,,,5,13,0,pmn_backfill/text/2020-01-07_city-council-regular-meeting.txt,pmn_minutes
6,1,1,4,"Council Member McGuire made a motion to approve Resolution R2020-05, as stated",Resolution,4-0 Pass,Pass,council_vote,,approve,keyword,high,,,,6,5,0,pmn_backfill/text/2020-01-07_city-council-regular-meeting.txt,pmn_minutes
7,1,1,5,Council Member Shelton made a motion to approve Resolution R2020-06,Resolution,3-0 Pass,Pass,council_vote,,approve,keyword,high,,,,5,,0,pmn_backfill/text/2020-01-07_city-council-regular-meeting.txt,pmn_minutes
8,1,1,6,"Council Member Shelton made a motion to approve Ordinance 2020-01, version A",Ordinance,4-0 Pass,Pass,council_vote,,approve,keyword,high,,,,5,,0,pmn_backfill/text/2020-01-07_city-council-regular-meeting.txt,pmn_minutes
9,1,1,7,Council Member McGuire made a motion to approve Ordinance 2020-02,Ordinance,4-0 Pass,Pass,council_vote,,approve,keyword,high,,,,6,,0,pmn_backfill/text/2020-01-07_city-council-regular-meeting.txt,pmn_minutes
10,1,1,8,Council Member McGuire made a motion to take a break,Other,4-0 Pass,Pass,council_vote,,,unclassified,low,,,,6,,0,pmn_backfill/text/2020-01-07_city-council-regular-meeting.txt,pmn_minutes
11,1,1,9,"Council Member McGuire made a motion to go into a closed executive session to discuss the purchase, exchange, or lease of real property",Contract/Purchase,4-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,6,5,0,pmn_backfill/text/2020-01-07_city-council-regular-meeting.txt,pmn_minutes
12,1,1,10,Council Member Shelton made a motion to come out of closed meeting,Other,4-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,5,,0,pmn_backfill/text/2020-01-07_city-council-regular-meeting.txt,pmn_minutes
13,1,1,11,Council Member McGuire made a motion to adjourn,Procedural/Administrative,4-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,6,5,0,pmn_backfill/text/2020-01-07_city-council-regular-meeting.txt,pmn_minutes
14,3,1,1,Council Member Shelton made a motion to adjourn,Procedural/Administrative,4-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,5,6,0,pmn_backfill/text/2020-01-21_city-council-study-meeting.txt,pmn_minutes
15,4,1,1,"Council Member McGuire made a motion to approve the January 7, 2020 study meeting minutes and the January 7, 2020 City Council meeting minutes, as printed",Procedural/Administrative,4-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,6,,0,pmn_backfill/text/2020-01-21_combined-city-council-redevelopment-agency-meeting.txt,pmn_minutes
16,4,1,2,Council Member Zander made a motion to recess the City Council meeting and move to a Redevelopment Agency meeting,Land-Use/Zoning,4-0 Pass,Pass,council_vote,,procedural,keyword,high,1,singleton,high,18,6,0,pmn_backfill/text/2020-01-21_combined-city-council-redevelopment-agency-meeting.txt,pmn_minutes
17,4,1,5,"Board Member Zander made a motion to adjourn the RDA meeting, and return to City Council meeting",Procedural/Administrative,4-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,18,6,0,pmn_backfill/text/2020-01-21_combined-city-council-redevelopment-agency-meeting.txt,pmn_minutes
18,4,1,6,Council Member Shelton made a motion to approve Resolution R2020-08,Resolution,Unanimous Pass,Pass,council_vote,,approve,keyword,high,,,,5,,0,pmn_backfill/text/2020-01-21_combined-city-council-redevelopment-agency-meeting.txt,pmn_minutes
