name,date,clip_id,duration_s,media_url,downloadfile_url
Regular City Council Meeting,2015-09-01,9,16620,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=9,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=9
Planning Commission Meeting,2015-09-17,12,2340,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=12,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=12
Redevelopment Agency Meeting,2015-09-22,16,600,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=16,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=16
Regular City Council Meeting,2015-09-22,17,13380,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=17,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=17
Riverton City Planning Commission Meeting,2015-10-01,19,1080,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=19,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=19
Regular City Council Meeting,2015-10-06,20,11460,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=20,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=20
Planning Commission Meeting,2015-10-08,21,7740,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=21,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=21
Riverton RDA,2015-10-20,22,2760,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=22,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=22
Regular City Council Meeting,2015-10-20,23,6240,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=23,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=23
Planning Commission Meeting,2015-10-22,24,2160,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=24,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=24
Planning Commission Meeting,2015-11-12,26,9300,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=26,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=26
Board of Canvassers Meeting,2015-11-17,30,300,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=30,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=30
Regular City Council Meeting,2015-11-17,31,14520,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=31,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=31
Redevelopment Agency Meeting,2015-12-01,32,60,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=32,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=32
Regular City Council Meeting,2015-12-01,33,13200,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=33,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=33
Redevelopment Agency Meeting,2016-01-05,34,780,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=34,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=34
Regular City Council Meeting,2016-01-05,35,12660,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=35,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=35
Planning Commission Meeting,2016-01-07,36,12840,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=36,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=36
Regular City Council Meeting,2016-01-12,37,13260,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=37,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=37
Riverton City Council Emergency Meeting,2016-01-14,38,120,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=38,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=38
Planning Commission Meeting,2016-01-14,39,11100,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=39,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=39
Regular City Council Meeting,2016-01-19,40,17520,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=40,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=40
Regular City Council Meeting,2016-01-26,41,12960,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=41,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=41
Planning Commission Meeting,2016-01-28,42,3300,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=42,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=42
Regular City Council Meeting,2016-02-02,43,7320,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=43,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=43
Regular City Council Meeting,2016-02-09,44,8640,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=44,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=44
Planning Commission Meeting,2016-02-11,45,4320,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=45,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=45
Regular City Council Meeting,2016-02-16,46,14400,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=46,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=46
Planning Commission Meeting,2016-02-25,47,3900,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=47,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=47
Redevelopment Agency Meeting,2016-03-01,48,720,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=48,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=48
Regular City Council Meeting,2016-03-01,49,9120,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=49,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=49
Planning Commission Meeting,2016-03-10,50,4500,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=50,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=50
Planning Commission Meeting,2016-03-24,51,1740,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=51,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=51
City Council Meeting,2016-03-29,52,6060,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=52,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=52
Regular City Council Meeting,2016-04-05,53,8940,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=53,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=53
Planning Commission Meeting,2016-04-14,55,3300,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=55,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=55
Board of Equalization,2016-04-19,56,540,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=56,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=56
