date,title,body,video_url,video_id,caption_type,source_url,retrieved_date,format,extraction_method,path,text_path,note
2016-01-12,"City Council Meeting - Jan. 12, 2016",Council,https://www.youtube.com/watch?v=JVT6y71F34w,JVT6y71F34w,asr,https://www.youtube.com/watch?v=JVT6y71F34w,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2016-01-26,"City Council Meeting - January 26, 2016",Council,https://www.youtube.com/watch?v=jW8B6-xCrN8,jW8B6-xCrN8,asr,https://www.youtube.com/watch?v=jW8B6-xCrN8,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2016-02-09,"City Council Meeting - February 9, 2016",Council,https://www.youtube.com/watch?v=2DSDHH4_klc,2DSDHH4_klc,asr,https://www.youtube.com/watch?v=2DSDHH4_klc,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2016-02-23,"City Council Meeting - February 23, 2016",Council,https://www.youtube.com/watch?v=Z0hoNvDMgDA,Z0hoNvDMgDA,asr,https://www.youtube.com/watch?v=Z0hoNvDMgDA,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2016-03-08,"City Council Meeting - March 8, 2016",Council,https://www.youtube.com/watch?v=DbvYhHLby3E,DbvYhHLby3E,asr,https://www.youtube.com/watch?v=DbvYhHLby3E,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2016-03-29,"City Council Meeting - March 29, 2016",Council,https://www.youtube.com/watch?v=UCuHh4DXTNM,UCuHh4DXTNM,asr,https://www.youtube.com/watch?v=UCuHh4DXTNM,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2016-04-12,"City Council Meeting - April 12, 2016",Council,https://www.youtube.com/watch?v=v02L4ImdKK8,v02L4ImdKK8,asr,https://www.youtube.com/watch?v=v02L4ImdKK8,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2016-04-26,"City Council Meeting - April 26, 2016",Council,https://www.youtube.com/watch?v=IJdMeziOP6g,IJdMeziOP6g,asr,https://www.youtube.com/watch?v=IJdMeziOP6g,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2016-05-10,"City Council Meeting - May 10, 2016",Council,https://www.youtube.com/watch?v=gDL9D_fTjtg,gDL9D_fTjtg,asr,https://www.youtube.com/watch?v=gDL9D_fTjtg,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2016-06-14,"City Council Meeting - June 14 , 2016",Council,https://www.youtube.com/watch?v=_zAY0vvXs_g,_zAY0vvXs_g,asr,https://www.youtube.com/watch?v=_zAY0vvXs_g,2026-07-05,na,mapped_not_downloaded_sample_only,,,
