date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,matched_election_candidate,join_confidence,amended
2017-01-01,Andy Beerman,Mayor,2017,summary,Final,Andy Beerman — 2017 Park City Final campaign financial disclosure,https://www.parkcity.gov/Documents/Government/Elections/Campaign%20Disclosures/2017%20Municipal%20Election%20Disclosures/Final%20Campaign%20Finance%20Disclosures/Andy%20Beerman%20Mayoral%20FINAL%20Campaign%20Financial%20Disclosure.pdf?t=202602090139570,2026-07-05,text,pdftotext -layout,raw/2017/2017_final_Andy_Beerman_Mayoral_FINAL_Campaign_Financial_Disclosure.pdf,Andy Beerman,firstlast,no
2017-01-01,Dana Williams,Mayor,2017,summary,Final,Dana Williams — 2017 Park City Final campaign financial disclosure,https://www.parkcity.gov/Documents/Government/Elections/Campaign%20Disclosures/2017%20Municipal%20Election%20Disclosures/Final%20Campaign%20Finance%20Disclosures/Dana%20Williams%20Mayoral%20FINAL%20Campaign%20Financial%20Disclosure.pdf?t=202602090205490,2026-07-05,scanned,"tesseract OCR (pdftoppm jpeg 200-300dpi, psm6)",raw/2017/2017_final_Dana_Williams_Mayoral_FINAL_Campaign_Financial_Disclosure.pdf,,none,no
2017-01-01,Josh Hobson,Council,2017,summary,Final,Josh Hobson — 2017 Park City Final campaign financial disclosure,https://www.parkcity.gov/Documents/Government/Elections/Campaign%20Disclosures/2017%20Municipal%20Election%20Disclosures/Final%20Campaign%20Finance%20Disclosures/Josh%20Hobson%20City%20Council%20FINAL%20Campaign%20Financial%20Disclosure.pdf?t=202602090205500,2026-07-05,scanned,"tesseract OCR (pdftoppm jpeg 200-300dpi, psm6)",raw/2017/2017_final_Josh_Hobson_City_Council_FINAL_Campaign_Financial_Disclosure.pdf,,none,no
2017-01-01,Mark Blue,Council,2017,summary,Final,Mark Blue — 2017 Park City Final campaign financial disclosure,https://www.parkcity.gov/Documents/Government/Elections/Campaign%20Disclosures/2017%20Municipal%20Election%20Disclosures/Final%20Campaign%20Finance%20Disclosures/Mark%20Blue%20City%20Council%20FINALCampaign%20Financial%20Disclosure.pdf?t=202602090205510,2026-07-05,scanned,"tesseract OCR (pdftoppm jpeg 200-300dpi, psm6)",raw/2017/2017_final_Mark_Blue_City_Council_FINALCampaign_Financial_Disclosure.pdf,,none,no
2017-01-01,Steve Joyce,Council,2017,summary,Final,Steve Joyce — 2017 Park City Final campaign financial disclosure,https://www.parkcity.gov/Documents/Government/Elections/Campaign%20Disclosures/2017%20Municipal%20Election%20Disclosures/Final%20Campaign%20Finance%20Disclosures/Steve%20Joyce%20CIty%20Council%20FINAL%20Campaign%20Financial%20Disclosure.pdf?t=202602090205520,2026-07-05,text,pdftotext -layout,raw/2017/2017_final_Steve_Joyce_CIty_Council_FINAL_Campaign_Financial_Disclosure.pdf,,none,no
2017-01-01,Tim Henney,Council,2017,summary,Final,Tim Henney — 2017 Park City Final campaign financial disclosure,https://www.parkcity.gov/Documents/Government/Elections/Campaign%20Disclosures/2017%20Municipal%20Election%20Disclosures/Final%20Campaign%20Finance%20Disclosures/Tim%20Henney%20City%20Council%20FINAL%20Campaign%20Financial%20Disclosure.pdf?t=202602090205530,2026-07-05,scanned,"tesseract OCR (pdftoppm jpeg 200-300dpi, psm6)",raw/2017/2017_final_Tim_Henney_City_Council_FINAL_Campaign_Financial_Disclosure.pdf,Tim B. Henney,firstlast,no
2017-01-01,Andy Beerman,Mayor,2017,interim,General,Andy Beerman — 2017 Park City General campaign financial disclosure [amended],https://www.parkcity.gov/Documents/Government/Elections/Campaign%20Disclosures/2017%20Municipal%20Election%20Disclosures/General%20Election%20Campaign%20Finance%20Disclosures/Andy%20Beerman%20AMENDED%20Mayoral%20Campaign%20Financial%20Disclosure.pdf?t=202602090140300,2026-07-05,text,pdftotext -layout,raw/2017/2017_general_Andy_Beerman_AMENDED_Mayoral_Campaign_Financial_Disclosure.pdf,Andy Beerman,firstlast,yes
2017-01-01,Andy Beerman,Mayor,2017,interim,General,Andy Beerman — 2017 Park City General campaign financial disclosure,https://www.parkcity.gov/Documents/Government/Elections/Campaign%20Disclosures/2017%20Municipal%20Election%20Disclosures/General%20Election%20Campaign%20Finance%20Disclosures/Andy%20Beerman%20Mayoral%20Campaign%20Financial%20Disclosure.pdf?t=202602090205250,2026-07-05,text,pdftotext -layout,raw/2017/2017_general_Andy_Beerman_Mayoral_Campaign_Financial_Disclosure.pdf,Andy Beerman,firstlast,no
2017-01-01,Dana Williams,Mayor,2017,interim,General,Dana Williams — 2017 Park City General campaign financial disclosure [amended],https://www.parkcity.gov/Documents/Government/Elections/Campaign%20Disclosures/2017%20Municipal%20Election%20Disclosures/General%20Election%20Campaign%20Finance%20Disclosures/Dana%20Williams%20AMENDED%20Mayoral%20Campaign%20Financial%20Disclosure.pdf?t=202602090205250,2026-07-05,scanned,"tesseract OCR (pdftoppm jpeg 200-300dpi, psm6)",raw/2017/2017_general_Dana_Williams_AMENDED_Mayoral_Campaign_Financial_Disclosure.pdf,,none,yes
2017-01-01,Dana Williams,Mayor,2017,interim,General,Dana Williams — 2017 Park City General campaign financial disclosure,https://www.parkcity.gov/Documents/Government/Elections/Campaign%20Disclosures/2017%20Municipal%20Election%20Disclosures/General%20Election%20Campaign%20Finance%20Disclosures/Dana%20Williams%20Mayoral%20Campaign%20Financial%20Disclosure.pdf?t=202602090205260,2026-07-05,scanned,"tesseract OCR (pdftoppm jpeg 200-300dpi, psm6)",raw/2017/2017_general_Dana_Williams_Mayoral_Campaign_Financial_Disclosure.pdf,,none,no
