candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes,filing_regime
Andy Beerman,Mayor,2017,2017-01-01,,summary,39100.00,39505.00,,,38850.00,,False,,-250.00,,10.00,82,0,raw/2017/2017_final_Andy_Beerman_Mayoral_FINAL_Campaign_Financial_Disclosure.pdf,1fb6747f,low,unitemized ≤$50/$500 aggregate stated $405.00 (not itemized); in-kind (VIK) stated $8573.00 (excluded from Form-A cash total); expenditures are a QuickBooks Profit&Loss export (not mapped to Form B); totals-only(no itemization); contrib!=stated; superseded (cumulative snapshot; cycle total = latest report),
Dana Williams,Mayor,2017,2017-01-01,,summary,21149.60,19399.19,,,21149.60,19399.19,True,True,0.00,0.00,100.00,83,36,raw/2017/2017_final_Dana_Williams_Mayoral_FINAL_Campaign_Financial_Disclosure.pdf,9528cf16,medium,vision-transcribed(claude-sonnet-5); reconciles cash-only (cover total excludes in-kind); superseded (cumulative snapshot; cycle total = latest report),
Josh Hobson,Council,2017,2017-01-01,,summary,1483.92,1533.92,,,1533.92,1533.92,False,True,50.00,0.00,808.92,10,6,raw/2017/2017_final_Josh_Hobson_City_Council_FINAL_Campaign_Financial_Disclosure.pdf,5abdec70,low,vision-transcribed(claude-sonnet-5); contrib!=stated; superseded (cumulative snapshot; cycle total = latest report),
Mark Blue,Council,2017,2017-01-01,,summary,1100.00,1100.00,,,1100.00,1100.00,True,True,0.00,0.00,0.00,1,2,raw/2017/2017_final_Mark_Blue_City_Council_FINALCampaign_Financial_Disclosure.pdf,2775fcda,medium,vision-transcribed(claude-sonnet-5); superseded (cumulative snapshot; cycle total = latest report),
Steve Joyce,Council,2017,2017-01-01,,summary,6350.00,6425.00,,,6425.00,6425.00,False,True,75.00,0.00,1000.00,17,16,raw/2017/2017_final_Steve_Joyce_CIty_Council_FINAL_Campaign_Financial_Disclosure.pdf,05dae1be,low,unitemized ≤$50/$500 aggregate stated $75.00 (not itemized); contrib!=stated; superseded (cumulative snapshot; cycle total = latest report),
Tim Henney,Council,2017,2017-01-01,,summary,3361.21,3511.21,,,3511.21,3511.21,False,True,150.00,0.00,250.00,21,10,raw/2017/2017_final_Tim_Henney_City_Council_FINAL_Campaign_Financial_Disclosure.pdf,74bff84c,low,vision-transcribed(claude-sonnet-5); contrib!=stated; superseded (cumulative snapshot; cycle total = latest report),
Andy Beerman,Mayor,2017,2017-01-01,,interim,38790.00,29166.00,,,,61689.00,,False,,32523.00,0.00,0,89,raw/2017/2017_general_Andy_Beerman_AMENDED_Mayoral_Campaign_Financial_Disclosure.pdf,9ca4bf78,low,unitemized ≤$50/$500 aggregate stated $306.00 (not itemized); in-kind (VIK) stated $8573.00 (excluded from Form-A cash total); totals-only(no itemization); expend!=stated; amendment,
Andy Beerman,Mayor,2017,2017-01-01,,interim,38790.00,29166.00,,,,61689.00,,False,,32523.00,0.00,0,89,raw/2017/2017_general_Andy_Beerman_Mayoral_Campaign_Financial_Disclosure.pdf,2776d61d,low,unitemized ≤$50/$500 aggregate stated $306.00 (not itemized); in-kind (VIK) stated $8573.00 (excluded from Form-A cash total); totals-only(no itemization); expend!=stated; superseded (cumulative snapshot; cycle total = latest report),
Dana Williams,Mayor,2017,2017-01-01,,interim,855.00,,,,855.00,,True,,0.00,,0.00,33,0,raw/2017/2017_general_Dana_Williams_AMENDED_Mayoral_Campaign_Financial_Disclosure.pdf,aab01e9b,low,vision-transcribed(claude-sonnet-5); amendment,
Dana Williams,Mayor,2017,2017-01-01,,interim,18850.00,16029.41,,,18850.00,16029.41,True,True,0.00,0.00,100.00,48,31,raw/2017/2017_general_Dana_Williams_Mayoral_Campaign_Financial_Disclosure.pdf,52718332,medium,vision-transcribed(claude-sonnet-5); reconciles cash-only (cover total excludes in-kind); superseded (cumulative snapshot; cycle total = latest report),
