city,candidate,election_year,office,seat,raised,spent,n_filings,n_live,basis,review_flag
park_city,Roger Armstrong,2017,,,55.0,0.0,2,1,single,
park_city,Steve Joyce,2017,Council,,6100.0,5410.92,2,1,single,
park_city,Tim Henney,2017,Council,,3325.0,3461.21,2,1,single,
park_city,Josh Hobson,2017,Council,,675.0,1533.92,2,1,single,
park_city,Mark Blue,2017,Council,,1100.0,1100.0,3,1,single,
park_city,Andy Beerman,2017,Mayor,,38790.0,29166.0,4,1,single,
park_city,Dana Williams,2017,Mayor,,855.0,0.0,4,1,single,
park_city,Nann Worel,2019,Council,,8700.0,4193.68,3,1,single,
park_city,Deanna Rhodes,2019,Council,,1225.0,1666.99,4,1,single,
park_city,Max Doilney,2019,Council,,1000.0,859.0,3,1,single,
park_city,Daniel Lewis,2019,Council,,636.5,636.5,2,1,single,
park_city,Becca Gerber,2019,Council,,4400.0,615.36,3,1,single,
park_city,Ed Parigian,2019,Council,,0.0,278.86,3,1,single,
park_city,Chadwick H. Fairbanks III,2019,Council,,0.0,48.0,2,1,summary,
park_city,Tana Toly,2021,Council,,19011.06,18754.75,4,1,single,
park_city,Jeremy Rubell,2021,Council,,8225.0,8548.82,3,1,single,
park_city,Thomas C. Purcell,2021,Council,,5069.35,5069.35,1,1,single,
park_city,Jamison Brandi,2021,Council,,2100.0,2100.0,2,1,summary,
park_city,John Greenfield,2021,Council,,2035.78,2070.78,2,1,summary,
park_city,Tim B. Henney,2021,Council,,1550.0,1067.41,3,1,single,
park_city,Michael J. Franchek,2021,Council,,399.0,383.0,1,1,single,
park_city,Daniel Lewis,2021,Council,,0.0,0.0,2,1,summary,
park_city,Nann Worel,2021,Mayor,,58027.7,58565.7,4,1,summary,
park_city,Andy Beerman,2021,Mayor,,64580.0,46848.77,4,1,single,
park_city,David A. Dobkin,2021,Mayor,,30278.14,24977.71,2,1,summary,
park_city,Betsy Wallace,2023,,,100.0,300.0,1,1,single,
park_city,Bob Sertner,2023,Council,,31540.0,25660.76,4,1,single,
park_city,John Greenfield,2023,Council,,12733.44,18792.91,4,1,single,
park_city,Jody Whitesides,2023,Council,,13384.26,8020.71,1,1,single,
park_city,Ed Parigian,2023,Council,,2000.0,6953.43,4,1,single,
park_city,Matthew Nagie,2023,Council,,0.0,5081.76,4,1,single,
park_city,Bill Ciraco,2023,Council,,1500.0,2169.21,5,1,single,
park_city,Ryan Dickey,2023,Council,,600.0,600.0,4,1,single,
park_city,David Pickleball Traffic Dobkin,2023,Council,,1000.0,370.44,1,1,single,
park_city,Dobkin,2023,Council,,600.0,331.0,1,1,summary,
park_city,Whitesides,2023,Council,,250.0,280.0,1,1,summary,
park_city,Zegarra,2025,Council,,41698.05,41655.4,3,1,summary,
park_city,Danny Glasser,2025,Council,,20370.68,20370.68,2,1,summary,
park_city,John J.K. Kenworthy,2025,Council,,14000.0,11473.32,2,1,single,
park_city,Diego Zegarra,2025,Council,,25880.05,9977.81,1,1,single,
park_city,Tana Toly,2025,Council,,5900.0,2500.87,5,1,single,
park_city,Molly Miller,2025,Council,,274.31,2295.06,2,1,summary,
park_city,Beth Armstrong,2025,Council,,5500.0,1400.0,2,1,summary,
park_city,Jeremy Rubell,2025,Council,,1396.6,1396.6,4,1,single,
park_city,Ian Hartley,2025,Council,,215.9,215.9,2,1,summary,
park_city,Ryan Dickey,2025,Mayor,,56897.79,55044.83,3,1,summary,
park_city,Jack Rubin,2025,Mayor,,52225.0,25890.51,3,1,summary,
