prefix,key,filename,size,last_modified
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1567617561_Ordinance 19-07-01.pdf,1567617561_Ordinance 19-07-01.pdf,69392,2019-09-04T17:19:22.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1569430016_Resolution 19-09-01.pdf,1569430016_Resolution 19-09-01.pdf,452405,2019-09-25T16:46:58.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1569430054_Resolution 19-09-02.pdf,1569430054_Resolution 19-09-02.pdf,458570,2019-09-25T16:47:36.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1569430085_Resolution 19-09-03.pdf,1569430085_Resolution 19-09-03.pdf,475082,2019-09-25T16:48:06.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1579217624_Ordinance 19-10-01.pdf,1579217624_Ordinance 19-10-01.pdf,91509,2020-01-16T23:33:45.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1579217868_Resolution 19-10-01.pdf,1579217868_Resolution 19-10-01.pdf,144797,2020-01-16T23:37:49.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1579217935_Resolution 19-10-02.pdf,1579217935_Resolution 19-10-02.pdf,45283,2020-01-16T23:38:57.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1579218335_Resolution 19-12-03.pdf,1579218335_Resolution 19-12-03.pdf,45749,2020-01-16T23:45:37.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1579289632_Resolution 19-12-02.pdf,1579289632_Resolution 19-12-02.pdf,145820,2020-01-17T19:33:54.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1582749480_Ordinance 19-05-02.pdf,1582749480_Ordinance 19-05-02.pdf,471055,2020-02-26T20:38:02.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1583253130_Dominion Energy - Emigration Canyon Agreement - signed - Final.pdf,1583253130_Dominion Energy - Emigration Canyon Agreement - signed - Final.pdf,3006964,2020-03-03T16:32:12.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1591728993_Ordinance 18-08-02.pdf,1591728993_Ordinance 18-08-02.pdf,66563,2020-06-09T18:56:34.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1591729897_Ordinance 18-08-01.pdf,1591729897_Ordinance 18-08-01.pdf,88086,2020-06-09T19:11:39.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1591730379_Ordinance 18-06-03.pdf,1591730379_Ordinance 18-06-03.pdf,1556117,2020-06-09T19:19:41.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1591734222_Ordinance 18-06-01.pdf,1591734222_Ordinance 18-06-01.pdf,196357,2020-06-09T20:23:44.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1591803949_Ordinance 18-06-02.pdf,1591803949_Ordinance 18-06-02.pdf,5795628,2020-06-10T15:45:51.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1608060204_Ordinance 20-11-1 Subdivision and zoning fees - signed.pdf,1608060204_Ordinance 20-11-1 Subdivision and zoning fees - signed.pdf,541044,2020-12-15T19:23:25.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1608060242_Resolution 20-09-02.pdf,1608060242_Resolution 20-09-02.pdf,208933,2020-12-15T19:24:03.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1610743075_Ordinance 20-11-01.docx,1610743075_Ordinance 20-11-01.docx,186109,2021-01-15T20:37:57.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1616091033_Ordinance 20-11-1 Subdivision and zoning fees - signed.pdf,1616091033_Ordinance 20-11-1 Subdivision and zoning fees - signed.pdf,253705,2021-03-18T18:10:35.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1646950227_Ordinance 2021-09-02.pdf,1646950227_Ordinance 2021-09-02.pdf,590181,2022-03-10T22:10:29.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1646955375_Ordinance 2021-09-01.pdf,1646955375_Ordinance 2021-09-01.pdf,271094,2022-03-10T23:36:16.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1646956985_Ordinance 2022-01-01.pdf,1646956985_Ordinance 2022-01-01.pdf,188207,2022-03-11T00:03:06.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1649363268_Ordinance 2022-03-02.pdf,1649363268_Ordinance 2022-03-02.pdf,1649093,2022-04-07T20:27:51.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1653575246_Ordinance 2022-01-01withexhibits.pdf,1653575246_Ordinance 2022-01-01withexhibits.pdf,343896,2022-05-26T14:27:29.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1670542073_Ordinance 2022-11-03.pdf,1670542073_Ordinance 2022-11-03.pdf,191545,2022-12-08T23:27:55.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1690300331_ECMT_Land Use Ordinance Amendment Resolution_Night Lighting.pdf,1690300331_ECMT_Land Use Ordinance Amendment Resolution_Night Lighting.pdf,2770624,2023-07-25T15:52:13.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1746123101_Ordinance 19-05-01.pdf,1746123101_Ordinance 19-05-01.pdf,305733,2025-05-01T18:11:43.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1750866535_Emigration 2025-O-04 Open Fires Amendment.pdf,1750866535_Emigration 2025-O-04 Open Fires Amendment.pdf,147047,2025-06-25T15:48:57.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1751302885_Ordinance 2024-10-02.pdf,1751302885_Ordinance 2024-10-02.pdf,2055385,2025-06-30T17:01:26.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1758223258_Ordinance 2024-12-01.pdf,1758223258_Ordinance 2024-12-01.pdf,2697375,2025-09-18T19:21:00.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1758635603_Emigration 2025-O-05 Title 19.02 Changes.pdf,1758635603_Emigration 2025-O-05 Title 19.02 Changes.pdf,444739,2025-09-23T13:53:24.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1758636708_Emigration 2025-O-06 Repealing 19.08-19.44-19.56.pdf,1758636708_Emigration 2025-O-06 Repealing 19.08-19.44-19.56.pdf,163881,2025-09-23T14:11:50.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1758638712_Emigration 2025-O-07 Chapter 19.88 Nonconforming Uses and Structures.pdf,1758638712_Emigration 2025-O-07 Chapter 19.88 Nonconforming Uses and Structures.pdf,393743,2025-09-23T14:45:13.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1758923789_Emigration 2025-O-13 Title 9.90.025 Scriveners error correction.pdf,1758923789_Emigration 2025-O-13 Title 9.90.025 Scriveners error correction.pdf,211635,2025-09-26T21:56:31.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1758924549_Emigration 2025-O-12 MET Tax Adoption with Rate.pdf,1758924549_Emigration 2025-O-12 MET Tax Adoption with Rate.pdf,75276,2025-09-26T22:09:10.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1758924646_Emigration 2025-O-14 Franchise Tax Adoption and Rate.pdf,1758924646_Emigration 2025-O-14 Franchise Tax Adoption and Rate.pdf,76716,2025-09-26T22:10:48.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1758925054_Emigration 2025-O-08 Title 14.56 Special Events Amendments - Waiting for adjusted code.pdf,1758925054_Emigration 2025-O-08 Title 14.56 Special Events Amendments - Waiting for adjusted code.pdf,71857,2025-09-26T22:17:36.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1762193847_Emigration 2025-O-16 Adopting 3.14 Telecomunications LIcense Tax Code.pdf,1762193847_Emigration 2025-O-16 Adopting 3.14 Telecomunications LIcense Tax Code.pdf,90396,2025-11-03T18:17:29.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1762193867_Emigration 2025-O-15 Adopting 3.13 Municipal Energy Tax MET Code.pdf,1762193867_Emigration 2025-O-15 Adopting 3.13 Municipal Energy Tax MET Code.pdf,146126,2025-11-03T18:17:49.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1772054388_Emigration 2025-O-08 Title 14.56 Special Events Amendments.pdf,1772054388_Emigration 2025-O-08 Title 14.56 Special Events Amendments.pdf,532285,2026-02-25T21:19:49.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1772055150_Emigration 2025-O-08 Title 14.56 Special Events Amendments.pdf,1772055150_Emigration 2025-O-08 Title 14.56 Special Events Amendments.pdf,532285,2026-02-25T21:32:31.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1777406369_Emigration 2026-O-03 Joining Clean Energy Program.pdf,1777406369_Emigration 2026-O-03 Joining Clean Energy Program.pdf,5191866,2026-04-28T19:59:30.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/1777409604_Emigration 2026-O-04 Authorizing MSD to receive city GRAMA requests.pdf,1777409604_Emigration 2026-O-04 Authorizing MSD to receive city GRAMA requests.pdf,3074564,2026-04-28T20:53:25.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/Ordinance 17-04-01.pdf,Ordinance 17-04-01.pdf,1440163,2018-06-28T23:21:32.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/Ordinance 17-04-02.pdf,Ordinance 17-04-02.pdf,83217,2018-06-29T13:00:06.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/Ordinance 18-12-01.pdf,Ordinance 18-12-01.pdf,2437160,2019-03-11T20:29:40.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/Ordinance 19-02-01.pdf,Ordinance 19-02-01.pdf,73540,2019-03-13T20:34:14.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/Ordinance 19-02-02.pdf,Ordinance 19-02-02.pdf,205601,2019-03-13T20:37:54.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/Resolution 17-04-01.pdf,Resolution 17-04-01.pdf,171837,2018-06-29T18:43:18.000Z
emigrationcanyon/ordinances/,emigrationcanyon/ordinances/documents/Resolution 19-02-01.pdf,Resolution 19-02-01.pdf,252806,2019-03-13T20:33:01.000Z
emigrationcanyon/resolutions/,emigrationcanyon/resolutions/documents/1597250145_Resolution 20-01-01.pdf,1597250145_Resolution 20-01-01.pdf,123078,2020-08-12T16:35:46.000Z
emigrationcanyon/resolutions/,emigrationcanyon/resolutions/documents/1597250211_Resolution 20-04-01.pdf,1597250211_Resolution 20-04-01.pdf,78071,2020-08-12T16:36:52.000Z
