ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,instrument_type,canonical_no,dup_raw,source_last_modified,linkage_note
17-04-01,2017-04-04,2017-04-04,Ordinance 17-04-01,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/emigrationcanyon/ordinances/documents/Ordinance%2017-04-01.pdf,2026-07-14,text,pdftotext_layout,raw/Ordinance_17-04-01.pdf,yes,,,,none,ordinance,17-04-01,,2018-06-28,date from ordinance log (Date Signed); no motion match
17-04-02,2017-04-04,2017-04-04,Ordinance 17-04-02,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/emigrationcanyon/ordinances/documents/Ordinance%2017-04-02.pdf,2026-07-14,text,pdftotext_layout,raw/Ordinance_17-04-02.pdf,no,,,,none,ordinance,17-04-02,,2018-06-29,date from ordinance log (Date Signed); no motion match
18-06-01,2018-06-28,2018-06-28,Ordinance 18-06-01,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/emigrationcanyon/ordinances/documents/1591734222_Ordinance%2018-06-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/1591734222_Ordinance_18-06-01.pdf,yes,,,,none,ordinance,18-06-01,,2020-06-09,date from ordinance log (Date Signed); no motion match
18-06-02,2018-06-28,2018-06-28,Ordinance 18-06-02,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/emigrationcanyon/ordinances/documents/1591803949_Ordinance%2018-06-02.pdf,2026-07-14,text,pdftotext_layout,raw/1591803949_Ordinance_18-06-02.pdf,yes,,,,none,ordinance,18-06-02,,2020-06-10,date from ordinance log (Date Signed); no motion match
18-06-03,2018-06-28,2018-06-28,Ordinance 18-06-03,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/emigrationcanyon/ordinances/documents/1591730379_Ordinance%2018-06-03.pdf,2026-07-14,scanned,ocr_tesseract,raw/1591730379_Ordinance_18-06-03.pdf,yes,,,,none,ordinance,18-06-03,,2020-06-09,date from ordinance log (Date Signed); no motion match
18-08-01,2018-08-23,2018-08-23,Ordinance 18-08-01,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/emigrationcanyon/ordinances/documents/1591729897_Ordinance%2018-08-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/1591729897_Ordinance_18-08-01.pdf,no,,,,none,ordinance,18-08-01,,2020-06-09,date from ordinance log (Date Signed); no motion match
18-08-02,2018-08-23,2018-08-23,Ordinance 18-08-02,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/emigrationcanyon/ordinances/documents/1591728993_Ordinance%2018-08-02.pdf,2026-07-14,scanned,ocr_tesseract,raw/1591728993_Ordinance_18-08-02.pdf,no,,,,none,ordinance,18-08-02,,2020-06-09,date from ordinance log (Date Signed); no motion match
18-12-01,2018-12-19,2018-12-19,Ordinance 18-12-01,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/emigrationcanyon/ordinances/documents/Ordinance%2018-12-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/Ordinance_18-12-01.pdf,no,,,,none,ordinance,18-12-01,,2019-03-11,date from ordinance log (Date Signed); no motion match
19-02-01,2019-02-28,2019-02-28,Ordinance 19-02-01,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/emigrationcanyon/ordinances/documents/Ordinance%2019-02-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/Ordinance_19-02-01.pdf,no,,,,none,ordinance,19-02-01,,2019-03-13,date from ordinance log (Date Signed); no motion match
19-02-02,2019-02-28,2019-02-28,Ordinance 19-02-02,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/emigrationcanyon/ordinances/documents/Ordinance%2019-02-02.pdf,2026-07-14,scanned,ocr_tesseract,raw/Ordinance_19-02-02.pdf,no,,,,none,ordinance,19-02-02,,2019-03-13,date from ordinance log (Date Signed); no motion match
19-05-01,2019-05-23,2019-05-23,Ordinance 19-05-01,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/emigrationcanyon/ordinances/documents/1746123101_Ordinance%2019-05-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/1746123101_Ordinance_19-05-01.pdf,yes,Pass (unanimous),2019-05-23,1,high,ordinance,19-05-01,,2025-05-01,
19-05-02,2019-05-23,2019-05-23,Ordinance 19-05-02,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/emigrationcanyon/ordinances/documents/1582749480_Ordinance%2019-05-02.pdf,2026-07-14,scanned,ocr_tesseract,raw/1582749480_Ordinance_19-05-02.pdf,no,,,,none,ordinance,19-05-02,,2020-02-26,date from ordinance log (Date Signed); no motion match
19-07-01,2019-07-25,2019-07-25,Ordinance 19-07-01,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/emigrationcanyon/ordinances/documents/1567617561_Ordinance%2019-07-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/1567617561_Ordinance_19-07-01.pdf,no,,,,none,ordinance,19-07-01,,2019-09-04,date from ordinance log (Date Signed); no motion match
19-10-01,2019-10-24,2019-10-24,Ordinance 19-10-01,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/emigrationcanyon/ordinances/documents/1579217624_Ordinance%2019-10-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/1579217624_Ordinance_19-10-01.pdf,yes,Pass (unanimous),2019-10-24,2,high,ordinance,19-10-01,,2020-01-16,
