date,year,title,slug,body,path,source,source_url,notice_url,pmn_body_id,pmn_file_id,retrieved_date,format,extraction_method,orig_filename
2020-01-21,2020,City Council Regular Meeting,2020-01-21-council-city-council-regular-meeting,Council,raw/2020-01-21__council__CC-Minutes-1-21-2020.pdf,pmn,https://www.utah.gov/pmn/files/572397.pdf,https://www.utah.gov/pmn/sitemap/notice/582964.html,753,572397,2026-07-13,scanned,ocr,CC Minutes 1-21-2020.pdf
2020-01-21,2020,Redevelopment Agency Meeting,2020-01-21-rda-redevelopment-agency-meeting,RDA,raw/2020-01-21__rda__RDA-Minutes-1-21-2020.pdf,pmn,https://www.utah.gov/pmn/files/572399.pdf,https://www.utah.gov/pmn/sitemap/notice/582763.html,756,572399,2026-07-13,scanned,ocr,RDA Minutes 1-21-2020.pdf
2021-01-19,2021,City Council Regular Meeting,2021-01-19-council-city-council-regular-meeting,Council,raw/2021-01-19__council__CC-Minutes-1-19-2021.pdf,pmn,https://www.utah.gov/pmn/files/694077.pdf,https://www.utah.gov/pmn/sitemap/notice/651629.html,753,694077,2026-07-13,scanned,ocr,CC Minutes 1-19-2021.pdf
2021-01-19,2021,Redevelopment Agency Meeting,2021-01-19-rda-redevelopment-agency-meeting,RDA,raw/2021-01-19__rda__RDA-Minutes-1-19-2021.pdf,pmn,https://www.utah.gov/pmn/files/694041.pdf,https://www.utah.gov/pmn/sitemap/notice/651631.html,756,694041,2026-07-13,scanned,ocr,RDA Minutes 1-19-2021.pdf
2022-01-18,2022,City Council Regular Meeting,2022-01-18-council-city-council-regular-meeting,Council,raw/2022-01-18__council__CC-Minutes-1-18-2022001.pdf,pmn,https://www.utah.gov/pmn/files/810853.pdf,https://www.utah.gov/pmn/sitemap/notice/728801.html,753,810853,2026-07-13,text,pdftotext,CC Minutes 1-18-2022001.pdf
2023-01-17,2023,City Council Regular Meeting,2023-01-17-council-city-council-regular-meeting,Council,raw/2023-01-17__council__CC-Minutes-1-17-23001.pdf,pmn,https://www.utah.gov/pmn/files/941597.pdf,https://www.utah.gov/pmn/sitemap/notice/805949.html,753,941597,2026-07-13,text,pdftotext,CC Minutes 1-17-23001.pdf
2023-01-17,2023,Redevelopment Agency Meeting,2023-01-17-rda-redevelopment-agency-meeting,RDA,raw/2023-01-17__rda__RDA-Minutes-1-17-2023001.pdf,pmn,https://www.utah.gov/pmn/files/947683.pdf,https://www.utah.gov/pmn/sitemap/notice/805959.html,756,947683,2026-07-13,text,pdftotext,RDA Minutes 1-17-2023001.pdf
2023-03-30,2023,City Council Budget Retreat,2023-03-30-council-city-council-budget-retreat,Council,raw/2023-03-30__council__CC-Minutes-3-30-2023-Budget-Retreat001.pdf,pmn,https://www.utah.gov/pmn/files/968981.pdf,https://www.utah.gov/pmn/sitemap/notice/820997.html,753,968981,2026-07-13,text,pdftotext,CC Minutes 3-30-2023 Budget Retreat001.pdf
2023-06-20,2023,City Council Regular Meeting,2023-06-20-council-city-council-regular-meeting,Council,raw/2023-06-20__council__CC-Minutes-6-20-2023001.pdf,pmn,https://www.utah.gov/pmn/files/1001505.pdf,https://www.utah.gov/pmn/sitemap/notice/840597.html,753,1001505,2026-07-13,text,pdftotext,CC Minutes 6-20-2023001.pdf
2023-06-20,2023,Redevelopment Agency Meeting,2023-06-20-rda-redevelopment-agency-meeting,RDA,raw/2023-06-20__rda__RDA-Minutes-6-20-2023001.pdf,pmn,https://www.utah.gov/pmn/files/1008869.pdf,https://www.utah.gov/pmn/sitemap/notice/840591.html,756,1008869,2026-07-13,text,pdftotext,RDA Minutes 6-20-2023001.pdf
2024-02-20,2024,City Council Regular Meeting,2024-02-20-council-city-council-regular-meeting,Council,raw/2024-02-20__council__CC-Minutes-2-20-2024.pdf,pmn,https://www.utah.gov/pmn/files/1097525.pdf,https://www.utah.gov/pmn/sitemap/notice/893757.html,753,1097525,2026-07-13,text,pdftotext,CC Minutes 2-20-2024.pdf
2024-02-20,2024,Redevelopment Agency Meeting,2024-02-20-rda-redevelopment-agency-meeting,RDA,raw/2024-02-20__rda__RDA-Minutes-2-20-2024.pdf,pmn,https://www.utah.gov/pmn/files/1097533.pdf,https://www.utah.gov/pmn/sitemap/notice/893759.html,756,1097533,2026-07-13,text,pdftotext,RDA Minutes 2-20-2024.pdf
2024-02-27,2024,City Council Special Meeting,2024-02-27-council-city-council-special-meeting,Council,raw/2024-02-27__council__CC-Special-Meeting-Minutes-2-27-2024.pdf,pmn,https://www.utah.gov/pmn/files/1097529.pdf,https://www.utah.gov/pmn/sitemap/notice/895531.html,753,1097529,2026-07-13,text,pdftotext,CC Special Meeting Minutes 2-27-2024.pdf
