precinct,district
WJD001,3
WJD002,3
WJD003,3
WJD004,3
WJD005,1
WJD006,3
WJD007,3
WJD008,3
WJD009,3
WJD011,1
WJD012,1
WJD013,1
WJD014,1
WJD015,1
WJD016,3
WJD017,3
WJD018,3
WJD019,3
WJD020,3
WJD021,3
WJD022,3
WJD023,1
WJD024,1
WJD025,1
WJD027,1
WJD028,1
WJD030,1
WJD031,1
WJD032,1
WJD033,1
WJD034,4
WJD035,3
WJD036,4
WJD037,4
WJD038,3
WJD039,4
WJD040,4
WJD042,4
WJD043,4
WJD044,4
WJD045,4
WJD046,4
WJD047,4
WJD048,4
WJD049,4
WJD050,2
WJD051,2
WJD052,4
WJD053,2
WJD054,2
WJD055,2
WJD056,2
WJD057,2
WJD059,2
WJD060,2
WJD061,1
WJD063,2
WJD064,2
WJD065,2
WJD066,2
WJD067,2
WJD068,2
WJD069,2
WJD070,2
WJD071,4
WJD074,2
WJD075,2
WJD080,4
