precinct,district,source_year
WJD001,3,2023
WJD002,1,2023
WJD003,1,2023
WJD004,3,2023
WJD005,3,2023
WJD006,3,2023
WJD007,3,2023
WJD008,3,2023
WJD009,1,2023
WJD010,1,2023
WJD011,1,2023
WJD012,1,2023
WJD013,1,2023
WJD014,1,2023
WJD015,1,2023
WJD016,3,2023
WJD017,3,2023
WJD018,3,2023
WJD019,3,2023
WJD020,3,2023
WJD021,3,2023
WJD022,1,2023
WJD023,1,2023
WJD024,1,2023
WJD025,1,2023
WJD026,1,2023
WJD027,1,2023
WJD028,1,2023
WJD029,1,2023
WJD030,1,2023
WJD031,1,2023
WJD032,1,2023
WJD033,3,2023
WJD034,3,2023
WJD035,4,2023
WJD036,4,2023
WJD037,3,2023
WJD038,4,2023
WJD039,4,2023
WJD040,4,2023
WJD041,4,2023
WJD042,4,2023
WJD043,4,2023
WJD044,2,2023
WJD045,4,2023
WJD046,2,2023
WJD047,2,2023
WJD048,2,2023
WJD049,2,2023
WJD050,2,2023
WJD051,2,2023
WJD052,2,2023
WJD053,4,2023
WJD054,4,2023
WJD055,4,2023
WJD056,4,2023
WJD057,4,2023
WJD058,4,2023
WJD059,4,2023
WJD060,4,2023
WJD061,4,2023
WJD062,2,2023
WJD063,2,2023
WJD064,2,2023
WJD065,2,2023
WJD066,2,2023
WJD067,2,2023
WJD068,2,2023
WJD069,2,2023
WJD070,2,2023
WJD071,2,2023
WJD072,2,2023
WJD073,3,2023
WJD074,3,2023
WJD075,1,2023
WJD076,1,2023
WJD077,1,2023
WJD078,1,2023
WJD079,2,2023
WJD080,3,2023
WJD081,4,2023
WJD082,1,2023
WJD083,3,gis
WJD084,3,gis
WJD085,3,gis
WJD086,3,gis
WJD901,4,2023
WJD902,4,2023
WJD903,4,2023
WJD904,3,2023
WJD905,3,2023
WJD906,3,2023
WJD907,3,2023
WJD908,4,2023
WJD909,3,2023
WJD910,2,2023
