video_id,title,date,body,duration_s,video_url
I1UVFWFn6p0,City Council - Draper City - 2026-01-06,2026-01-06,Council,3452,https://www.youtube.com/watch?v=I1UVFWFn6p0
PRU0sWMU2-Q,"Parks, Trails & Recreation Committee - Draper City - 2026-01-07",2026-01-07,ParksTrailsRecreationCommittee,5402,https://www.youtube.com/watch?v=PRU0sWMU2-Q
dgBCV6Rb4eY,Planning Commission - Draper City - 2026-01-08,2026-01-08,PlanningCommission,2057,https://www.youtube.com/watch?v=dgBCV6Rb4eY
TrnjKgibHs4,Appeals and Variance Hearing Officer - Draper City - 2026-01-09,2026-01-09,AppealsVarianceOfficer,4332,https://www.youtube.com/watch?v=TrnjKgibHs4
GVkmHI9LHOw,City Council - Draper City - 2026-01-20,2026-01-20,Council,3770,https://www.youtube.com/watch?v=GVkmHI9LHOw
NZe2hqAfTlE,Historic Preservation Commission - Draper City - 2026-01-21,2026-01-21,HistoricPreservationCommission,4402,https://www.youtube.com/watch?v=NZe2hqAfTlE
4sWyiuiSXmg,Planning Commission - Draper City - 2026-01-22,2026-01-22,PlanningCommission,1260,https://www.youtube.com/watch?v=4sWyiuiSXmg
F3GDW_R0Ays,City Council - Draper City - 2026-02-03,2026-02-03,Council,5193,https://www.youtube.com/watch?v=F3GDW_R0Ays
u7NLDfVLDxw,City Council - Draper City - 2026-02-03,2026-02-03,Council,5193,https://www.youtube.com/watch?v=u7NLDfVLDxw
DTsVLbKDUiA,City Council - Draper City - 2026-02-10,2026-02-10,Council,10456,https://www.youtube.com/watch?v=DTsVLbKDUiA
OpSLFwe707I,City Council - Draper City - 2026-02-10,2026-02-10,Council,10456,https://www.youtube.com/watch?v=OpSLFwe707I
1JIc4WFwIRU,Planning Commission - Draper City - 2026-02-12,2026-02-12,PlanningCommission,1239,https://www.youtube.com/watch?v=1JIc4WFwIRU
ridEoRFTMnw,Planning Commission - Draper City - 2026-02-12,2026-02-12,PlanningCommission,1239,https://www.youtube.com/watch?v=ridEoRFTMnw
6KgJJeVSR_Y,City Council - Draper City - 2026-02-17,2026-02-17,Council,6999,https://www.youtube.com/watch?v=6KgJJeVSR_Y
jZP66uJpGj0,City Council - Draper City - 2026-02-17,2026-02-17,Council,6999,https://www.youtube.com/watch?v=jZP66uJpGj0
Lj4A18_dvY0,Historic Preservation Commission - Draper City - 2026-02-18,2026-02-18,HistoricPreservationCommission,2625,https://www.youtube.com/watch?v=Lj4A18_dvY0
