ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,kind,date_basis,lu_basis,n_motions,origin,audit_flag
20-01,2020-02-18,2020-02-18,Ordinance 20-01 — AMENDED Regulating Public Intoxication and Drinking Alcohol in Public Places,https://www.loganutah.gov/departments/admin/recorder/20-01%20AMENDED%20Regulating%20Public%20Intoxication%20and%20Drinking%20Alcohol%20in%20Public%20Places.pdf?t=202002201740170,,na,recorder_listing,,no,5-0 Pass,2020-02-18,4,high,Ordinance,council_motion,,5,archive,
20-02,2020-02-04,2020-02-04,Ordinance 20-02 — AMENDED Prohibiting the Distribution of Disposable Plastic Bags,https://www.loganutah.gov/departments/admin/recorder/20-02%20AMENDED%20Prohibiting%20the%20Distribution%20of%20Disposable%20Plastic%20Bags.pdf?t=202002201740550,,na,recorder_listing,,no,Carried unanimously (no names),2020-02-04,3,high,Ordinance,council_motion,,1,archive,
20-03,2020-02-18,2020-02-18,"Ordinance 20-03 — Impact Fee Facilities Plan for Water, Wastewater, Parks, Power and Transportation",https://www.loganutah.gov/departments/admin/recorder/20-03%20Impact%20Fee%20Facilities%20Plan%20for%20Water%2C%20Wastewater%2C%20Parks%2C%20Power%20and%20Transportation.pdf?t=202002201741350,2026-07-05,text,recorder_pdf,raw/ord_20-03_Impact_Fee_Facilities_Plan_for_Water_Wastewater_Parks_Power_and_Transporta.pdf,yes,5-0 Pass,2020-02-18,3,high,Ordinance,council_motion,keyword,5,archive,
20-04,2020-07-21,2020-07-21,Ordinance 20-04 — FLUP Amendment,https://www.loganutah.gov/departments/admin/council/20-04%20FLUP%20Amendment.pdf?t=202010091015320,2026-07-05,text,recorder_pdf,raw/ord_20-04_FLUP_Amendment.pdf,yes,Carried unanimously (no names),2020-07-21,7,high,Ordinance,council_motion,keyword,1,archive,
20-05,2020-04-07,2020-04-07,Ordinance 20-05 — Valley View Rezone,https://www.loganutah.gov/departments/admin/council/20-05%20Valley%20View%20Rezone.pdf?t=202010091016280,2026-07-05,text,recorder_pdf,raw/ord_20-05_Valley_View_Rezone.pdf,yes,5-0 Pass,2020-04-07,7,high,Ordinance,council_motion,keyword,5,archive,
20-06,2020-07-07,2020-07-07,Ordinance 20-06 — Foothill Residential Rezone - DENIED,https://www.loganutah.gov/departments/admin/council/20-06%20Foothill%20Residential%20Rezone%20-%20DENIED.pdf?t=202010091017120,2026-07-05,text,recorder_pdf,raw/ord_20-06_Foothill_Residential_Rezone_-_DENIED.pdf,yes,Carried unanimously (no names),2020-07-07,2,high,Ordinance,council_motion,keyword,1,archive,
20-07,2020-04-21,2020-04-21,Ordinance 20-07 — Merrill Rezone 1105 W 2200 S,https://www.loganutah.gov/departments/admin/council/20-07%20Merrill%20Rezone%201105%20W%202200%20S.pdf?t=202010091018400,2026-07-05,text,recorder_pdf,raw/ord_20-07_Merrill_Rezone_1105_W_2200_S.pdf,yes,3-2 Pass,2020-04-21,4,high,Ordinance,council_motion,keyword,5,archive,
20-09,2020-05-05,2020-05-05,Ordinance 20-09 — Vacation Public Utility Easements Westfield Subdivision,https://www.loganutah.gov/departments/admin/council/20-09%20Vacation%20Public%20Utility%20Easements%20Westfield%20Subdivision.pdf?t=202010091021280,2026-07-05,text,recorder_pdf,raw/ord_20-09_Vacation_Public_Utility_Easements_Westfield_Subdivision.pdf,yes,5-0 Pass,2020-05-05,3,high,Ordinance,council_motion,keyword,5,archive,
20-10,2020-05-05,2020-05-05,Ordinance 20-10 — Vacation of Public Right of Way 1500 West 2100 South Spring Creek Village,https://www.loganutah.gov/departments/admin/council/20-10%20Vacation%20of%20Public%20Right%20of%20Way%201500%20West%202100%20South%20Spring%20Creek%20Village.pdf?t=202010091022200,2026-07-05,text,recorder_pdf,raw/ord_20-10_Vacation_of_Public_Right_of_Way_1500_West_2100_South_Spring_Creek_Village.pdf,yes,5-0 Pass,2020-05-05,4,high,Ordinance,council_motion,keyword,5,archive,
20-11,2020-05-05,2020-05-05,Ordinance 20-11 — Henderson Annexation 829 and 879 W 2200 S,https://www.loganutah.gov/departments/admin/council/20-11%20Henderson%20Annexation%20829%20and%20879%20W%202200%20S.pdf?t=202010091023060,2026-07-05,text,recorder_pdf,raw/ord_20-11_Henderson_Annexation_829_and_879_W_2200_S.pdf,yes,5-0 Pass,2020-05-05,5,high,Ordinance,council_motion,keyword,5,archive,
