precinct,district,district_election,method,area_frac,agree_election,split
RIV001,4,4,centroid_in_district,0.9801,True,no
RIV002,2,2,centroid_in_district,0.9905,True,no
RIV003,2,2,centroid_in_district,0.9959,True,no
RIV004,5,5,centroid_in_district,0.9999,True,no
RIV005,2,2,centroid_in_district,0.9965,True,no
RIV006,2,2,centroid_in_district,0.9995,True,no
RIV007,2,2,centroid_in_district,1.0,True,no
RIV008,2,2,centroid_in_district,0.9997,True,no
RIV009,4,4,centroid_in_district,0.9854,True,no
RIV010,4,4,centroid_in_district,0.9974,True,no
RIV011,4,4,centroid_in_district,0.9967,True,no
RIV012,4,4,centroid_in_district,0.9921,True,no
RIV013,4,4,centroid_in_district,0.9991,True,no
RIV014,4,4,centroid_in_district,0.9951,True,no
RIV015,4,4,centroid_in_district,0.9972,True,no
RIV016,1,1,centroid_in_district,0.9942,True,no
RIV017,3,3,centroid_in_district,0.9988,True,no
RIV018,3,3,centroid_in_district,0.9998,True,no
RIV019,3,3,centroid_in_district,0.9996,True,no
RIV020,3,3,centroid_in_district,1.0,True,no
RIV021,5,5,centroid_in_district,0.9998,True,no
RIV022,5,5,centroid_in_district,0.9996,True,no
RIV023,5,5,centroid_in_district,1.0,True,no
RIV024,5,5,centroid_in_district,0.9985,True,no
RIV025,5,5,centroid_in_district,0.9905,True,no
RIV026,1,1,centroid_in_district,0.9919,True,no
RIV027,1,1,centroid_in_district,1.0,True,no
RIV028,1,1,centroid_in_district,0.9954,True,no
RIV029,1,1,centroid_in_district,0.9927,True,no
RIV030,3,3,centroid_in_district,0.9994,True,no
RIV031,3,3,centroid_in_district,1.0,True,no
RIV032,3,3,centroid_in_district,1.0,True,no
RIV033,5,5,centroid_in_district,1.0,True,no
RIV034,2,2,centroid_in_district,0.9976,True,no
RIV035,5,5,centroid_in_district,0.9884,True,no
