n,candidate,office,source_filing,document_id,pages_total,pages_read,itemized_pages_A,itemized_pages_B,n_contrib_rows,n_expend_rows,contrib_verified,expend_verified,stated_contrib,stated_expend,itemized_contrib_sum,itemized_expend_sum,recon_contrib,recon_expend,recon_contrib_detail,recon_expend_detail,withheld_sides,n_escalations,escalations,notes
1,Joe Hatch,County Council,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,4,1 2 3 4,3,4,2,14,2,14,1500.00,2745.75,1500.00,2745.75,exact,exact,exact (1500.00 = 1500.00),exact (2745.75 = 2745.75),,2,p3 band 500dpi; p4 bands 450dpi x2,Schedule A page subtotal and total both printed 1500-; Schedule B subtotal/total both 2745.75.
2,Jim Bradley,County Council,raw/clerk_legacy/bradley_january312005.pdf,f12f3ba3,5,1 2 3 4 5,3,4,4,11,4,11,1520.00,1212.38,1520.00,1212.38,exact,exact,exact (1520.00 = 1520.00),exact (1212.38 = 1212.38),,2,p3 band 550dpi; p4 bands 450dpi x2 + normalize,"page 5 is a University Credit Union share-transaction printout, not a schedule - not transcribed."
3,James M Winder,Sheriff,raw/clerk_legacy/08_jwinder_jan31.pdf,d999a099,4,1 2 3 4,3,4,49,17,49,17,33464.04,4296.47,33464.04,4296.47,exact,exact,exact (33464.04 = 33464.04; cash 30500.00 + in-kind 2964.04),exact (4296.47 = 4296.47; cash 1332.43 + in-kind 2964.04),,2,"p3 rendered 420dpi + rotated -90 (page is LANDSCAPE, stored rotated) and verified in 3 bands; p4 band 450dpi","Typed spreadsheet, born-digital-clean. Page 3 is stored LANDSCAPE and must be rotated -90 to read - a naive portrait render is unreadable. The 10 IN KIND rows appear on BOTH schedules at identical amounts (the filer reports each in-kind item as both a contribution and an expenditure); both sides are transcribed as printed and both reconcile. Dates containing 6/8 digits (11/16 vs 11/18) are at the fax font's resolution limit but do not affect reconciliation."
4,David Wilde,County Council,raw/clerk_legacy/08_dwilde_jan31.pdf,3abae122,4,1 2 3 4,3,4,1,0,1,0,7.34,0.00,7.34,0.00,exact,exact,exact (7.34 = 7.34),"exact (0.00 = 0.00, zero rows)",,0,,"Schedule B is an entirely EMPTY grid - 0 rows, an honest empty side, not a gap. Summary Page line 2 prints '- 0 -' in both columns; under the ZERO-GLYPH RULING that is 0.00 (pilot_set records it as '-0.00')."
5,Ben McAdams,Mayor,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,8,1 2 3 4 5 6 7 8,3 4 5,7,73,29,73,29,51374.00,11942.50,51374.00,11942.48,exact,delta,exact (51374.00 = 51374.00; the attachment prints its own grand total 51374 which agrees),"DELTA: itemized 11942.48 vs stated 11942.50, recon_delta -0.02 (outside the $0.01 tolerance)",,2,p3/p4/p5 rendered 300dpi then rotated -90 (landscape attachments); p7 rendered 250dpi and cropped into left/amount halves at 200% zoom to settle the cent digits,"Schedules A and B are both 'See Attached' - the money is on typed attachment pages hand-numbered 3/7,4/7,5/7 (contributions) and 7/7 (expenditures). COMPLETENESS IS PROVABLE for contributions: the list runs strictly alphabetically by first name A->Z across the three pages AND the attachment prints its own grand total 51374, equal to my counted sum - so nothing is withheld. EXPENDITURES DO NOT RECONCILE: counted rows sum to 11942.48 against the attachment's printed total 11942.5 and the Summary-Page stated 11,942.50. Every amount was re-read at 200% zoom and none changed, so the 2-cent gap is the FILER's own arithmetic - retained and flagged, never adjusted."
6,Jim Bradley,County Council,raw/clerk_legacy/Bradley_J_12_April_Interim_Amend_CntyCncl_AtLrgC_R.pdf,e2a072a4,4,1 2 3 4,3,4,2,1,2,1,3000.00,259.74,3000.00,259.74,exact,exact,exact (3000.00 = 3000.00),exact (259.74 = 259.74),,0,,"Schedule A SUBTOTAL cell blank; only the TOTAL cell carries 3,000."
7,Mary Bishop,Recorder,raw/clerk_legacy/BishopM_2014_April.pdf,9fa1d4aa,6,1 2 3 4 5 6,4,6,31,8,31,8,4160.00,2817.43,4160.00,2817.43,exact,exact,exact (4160.00 = 4160.00; the attachment prints its own Total 4160 which agrees),exact (2817.43 = 2817.43; the attachment prints Total Expenses 2817.43),,1,p4 and p6 rendered 300dpi + rotated -90 (landscape attachments) + normalized,"Schedules A and B are stamped 'see attached'; the money is on two typed landscape attachments titled 'MARY BISHOP/RECORDER - CONTRIBUTIONS/EXPENSES ENDING 3/31/14'. Contribution addresses are fully REDACTED; expenditure addresses are printed in the clear (street discarded per PRIVACY). The Schedule-B attachment has an 'In-Kind Value' column that is EMPTY on every row - in_kind=False throughout, an honest empty column, not an inference."
8,Lee Gardner,Assessor,raw/clerk_legacy/lgardner_june202006amend.pdf,217aa8a4,4,1 2 3 4,3,4,6,5,6,5,5346.08,591.47,5346.08,591.47,exact,exact,exact (5346.08 = 5346.08),exact (591.47 = 591.47),,0,,"Superscript-cents form throughout. index.csv/pilot_set carry election_year 2020, a filename mis-parse of a JUNE 2006 form - flagged; transcribed from the form (riverton-Pierucci precedent)."
9,Joe Hatch,County Council,raw/clerk_legacy/jhatch_jan3106.pdf,69c420fb,4,1 2 3 4,3,4,1,8,1,8,500.00,566.24,500.00,566.24,exact,exact,exact (500.00 = 500.00),exact (566.24 = 566.24),,2,p3 band 500dpi; p4 band 450dpi,"Same hand as filing 1 (Joe Hatch): N is written as W, E as Z. Dates use a SINGLE-DIGIT year ('8/15/5'); read as 2005 from the printed report date 1/31/6, marked in each row's note."
10,Joe Hatch,County Council,raw/clerk_legacy/hatch_january312005.pdf,289fef21,22,1 2 3 4 5,3,4 5,15,20,15,20,6700.00,7268.73,6700.00,7268.73,exact,exact,exact (6700.00 = 6700.00),"exact (7268.73 = 7268.73; page-4 subtotal 5742.49 + page-5 subtotal 1526.24, both of which my counted rows reproduce exactly)",,0,,"Pages 6-22 are Wells Fargo bank statements stapled behind the report - catalogued as read but not a schedule, so not transcribed. Schedule B runs over TWO pages, each with its own subtotal; both subtotals and the grand total reconcile to my counted rows exactly."
11,Jeff S. Allen,County Council,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,5,1 2 3 4 5,3,4 5,11,28,11,28,9075.00,3998.05,9075.00,4087.05,exact,delta,exact (9075.00 = 9075.00),"DELTA: itemized 4087.05 vs stated 3998.05, recon_delta +89.00",,2,p4 amount column re-rendered 500dpi + normalized; p5 amount column re-rendered 500dpi + normalized (both to test the subtotal discrepancy - no transcribed value changed),"EVERY date on this filing prints MONTH/DAY ONLY. The year is not on the page and is NOT inferred from the 6/20/06 report date - all dates are honestly BLANK with the verbatim in each row's note. THE EXPENDITURE SIDE IS INTERNALLY INCONSISTENT AT THREE LEVELS, all the filer's own arithmetic: (a) page-4 rows sum to 1483.27 against a printed page subtotal of 1,974.27 (delta 491.00); (b) page-5 rows sum to 2603.78 against a printed page subtotal of 2,523.78 (delta -80.00); (c) the two printed subtotals themselves sum to 4,498.05 against a printed TOTAL of 3,998.05 (delta 500.00). Both amount columns were re-rendered at 500 dpi and NOT ONE transcribed value changed. The rows are complete and legible, so the side is reported as a DELTA (itemized 4087.05 vs stated 3998.05, +89.00), not withheld, and nothing is adjusted."
12,Jim Bradley,County Council,raw/clerk_legacy/08_jbradley_jan31.pdf,1d733db5,6,1 2 3 4 5 6,5,6,12,21,12,21,4052.39,6838.20,4052.39,6838.20,exact,exact,"exact (4052.39 = 4052.39; the attachment prints Total $4,052.39)","exact (6838.20 = 6838.20; the attachment prints TOTAL $6,838.20)",,1,"p5/p6 rendered 300dpi, rotated +90 (landscape attachments stored UPSIDE-DOWN relative to p3/p4 - a -90 rotate produces an inverted, unreadable page), normalized","Schedules A and B (pages 3-4) are blank forms stamped 'See Attached'; the money is on two typed landscape attachments, 'January 31 Donations Report' and 'January 31 Expenses Report'. The $99.95 Network Solutions web registration appears on BOTH sides (as Kerri Nakamura's in-kind contribution and as the corresponding expense) and both sides still reconcile exactly."
13,Calvin J. Noyce,County Council,raw/clerk_legacy/CNoyce_12_Final_CntyCncl1_Redacted.pdf,aa64824e,4,1 2 3 4,3,4,13,13,13,13,520.00,461.17,520.00,461.17,exact,exact,exact (520.00 = 520.00),exact (461.17 = 461.17),,0,,"A fax (header 'Jan 24 12 01:11p Cal Noyce & Bruce Dicks'). The SAME 12 monthly $35 X-Mission web-hosting items appear on BOTH schedules - as in-kind contributions received and as the matching in-kind expenditures; both sides reconcile. Schedule A's SUBTOTAL cell is blank, only the TOTAL carries 520.00; Schedule B's SUBTOTAL is likewise blank."
