candidate,office,seat,election_year,filing_date,reporting_period,date,vendor_raw,vendor_normalized,purpose,amount,in_kind,is_incremental,source_filing,document_id,line_no,extraction_confidence,extract_method,needs_review,geometry,verified,cell_confidence,transcriber_note
Joe Hatch,County Council,,,,,,Wells Fargo Bank,Wells Fargo Bank,Bank charges,36.00,False,,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,1,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x209,y612,w1298,h83@200dpi",1,vendor=high;amount=high,"date printed as a RANGE '1/07 - 1/08' - not a single date, left blank per SCHEMA 3; verbatim kept here"
Joe Hatch,County Council,,,,,2007-02-27,Wilson for Mayor,Wilson for Mayor,Campaign contribution,500.00,False,,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,2,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x209,y695,w1298,h83@200dpi",1,date=high;vendor=high;amount=high,
Joe Hatch,County Council,,,,,2007-04-02,H. Clinton for President,H. Clinton for President,Campaign contribution,250.00,False,,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,3,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x209,y778,w1298,h83@200dpi",1,date=high;vendor=high;amount=high,
Joe Hatch,County Council,,,,,2007-04-03,VZ Wireless,VZ Wireless,Cell phone,204.75,False,,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,4,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x209,y861,w1298,h83@200dpi",1,date=high;vendor=high;amount=high,
Joe Hatch,County Council,,,,,2007-05-11,Kelly Ann Booth,Kelly Ann Booth,Salt Lake County Demo convention pamphlet,35.00,False,,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,5,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x209,y944,w1298,h83@200dpi",1,date=high;vendor=medium;amount=high,hand renders N as W and Y as B: raw glyphs 'KELLB AWN BOOTH' read as KELLY ANN BOOTH
Joe Hatch,County Council,,,,,2007-05-29,Kerri Nakamura,Kerri Nakamura,Campaign planning dinner,70.00,False,,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,6,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x209,y1027,w1298,h83@200dpi",1,date=high;vendor=high;amount=high,
Joe Hatch,County Council,,,,,2007-06-22,Garrott for Council,Garrott for Council,Campaign contribution,100.00,False,,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,7,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x209,y1110,w1298,h83@200dpi",1,date=high;vendor=high;amount=high,
Joe Hatch,County Council,,,,,2007-11-15,Garrott for Council,Garrott for Council,Campaign contribution,300.00,False,,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,8,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x209,y1193,w1298,h83@200dpi",1,date=high;vendor=high;amount=high,
Joe Hatch,County Council,,,,,2007-11-09,Target Group,Target Group,Campaign letter,200.00,False,,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,9,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x209,y1276,w1298,h83@200dpi",1,date=high;vendor=high;amount=high,
Joe Hatch,County Council,,,,,2007-11-08,Karen Mayne for Senate,Karen Mayne for Senate,Campaign contribution,250.00,False,,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,10,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x209,y1359,w1298,h83@200dpi",1,date=high;vendor=medium;amount=high,"raw glyphs 'KAREW MAYWE FOR SEWATZ'; same hand (N=W, E=Z) reads Karen Mayne for Senate"
Joe Hatch,County Council,,,,,2007-11-14,Salt Lake County Demo Party,Salt Lake County Demo Party,Campaign cont.,50.00,False,,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,11,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x209,y1442,w1298,h83@200dpi",1,date=high;vendor=high;amount=high,
