precinct,district,district_area_frac,method,split
SJD001,1,0.9987,centroid_in_district,no
SJD002,3,1.0,centroid_in_district,no
SJD003,3,1.0,centroid_in_district,no
SJD004,3,1.0,centroid_in_district,no
SJD005,3,0.9947,centroid_in_district,no
SJD006,2,0.9945,centroid_in_district,no
SJD007,2,0.9975,centroid_in_district,no
SJD008,2,0.9999,centroid_in_district,no
SJD009,2,1.0,centroid_in_district,no
SJD010,2,0.9987,centroid_in_district,no
SJD011,2,0.9986,centroid_in_district,no
SJD012,1,0.992,centroid_in_district,no
SJD013,1,1.0,centroid_in_district,no
SJD014,1,0.982,centroid_in_district,no
SJD015,3,1.0,centroid_in_district,no
SJD016,3,0.999,centroid_in_district,no
SJD017,3,0.9969,centroid_in_district,no
SJD018,3,0.9959,centroid_in_district,no
SJD019,3,0.9975,centroid_in_district,no
SJD020,2,1.0,centroid_in_district,no
SJD021,2,1.0,centroid_in_district,no
SJD022,2,1.0,centroid_in_district,no
SJD023,2,0.9988,centroid_in_district,no
SJD024,1,1.0,centroid_in_district,no
SJD025,1,0.999,centroid_in_district,no
SJD026,4,0.9997,centroid_in_district,no
SJD027,3,0.9992,centroid_in_district,no
SJD028,3,0.9999,centroid_in_district,no
SJD029,4,0.9997,centroid_in_district,no
SJD030,5,0.997,centroid_in_district,no
SJD031,5,0.9995,centroid_in_district,no
SJD032,4,0.9713,centroid_in_district,no
SJD033,5,0.9978,centroid_in_district,no
SJD034,5,1.0,centroid_in_district,no
SJD035,5,0.9998,centroid_in_district,no
SJD036,5,0.9998,centroid_in_district,no
SJD037,5,0.9991,centroid_in_district,no
SJD038,2,0.9998,centroid_in_district,no
SJD039,2,0.9974,centroid_in_district,no
SJD040,2,0.9944,centroid_in_district,no
SJD041,2,1.0,centroid_in_district,no
SJD042,2,0.9914,centroid_in_district,no
SJD043,1,1.0,centroid_in_district,no
SJD044,1,0.9988,centroid_in_district,no
SJD045,5,0.9983,centroid_in_district,no
SJD046,5,0.9805,centroid_in_district,no
SJD047,1,0.9995,centroid_in_district,no
SJD048,1,0.9993,centroid_in_district,no
SJD049,5,0.9982,centroid_in_district,no
SJD050,1,0.9969,centroid_in_district,no
SJD051,1,1.0,centroid_in_district,no
SJD052,1,1.0,centroid_in_district,no
SJD053,4,1.0,centroid_in_district,no
SJD054,4,0.9959,centroid_in_district,no
SJD055,4,0.9991,centroid_in_district,no
SJD056,4,0.9997,centroid_in_district,no
SJD057,4,0.9989,centroid_in_district,no
SJD058,5,0.9781,centroid_in_district,no
SJD059,4,0.999,centroid_in_district,no
SJD060,4,0.9952,centroid_in_district,no
SJD061,4,0.9963,centroid_in_district,no
SJD062,4,0.9977,centroid_in_district,no
SJD063,1,0.9899,centroid_in_district,no
SJD064,4,0.9989,centroid_in_district,no
SJD065,4,0.9995,centroid_in_district,no
SJD901,3,1.0,centroid_in_district,no
SJD902,4,0.9988,centroid_in_district,no
SJD903,4,0.9963,centroid_in_district,no
