date,body,meeting_kind,reason
2020-01-08,Council,RC,agenda-only/minutes-not-posted
2020-01-08,Council,WM,agenda-only/minutes-not-posted
2020-01-08,RDA,RC,1 agenda-only cand
2020-01-22,Council,RC,agenda-only/minutes-not-posted
2020-01-22,Council,WM,agenda-only/minutes-not-posted
2020-01-22,RDA,RC,1 agenda-only cand
2020-01-29,Council,WM,agenda-only/minutes-not-posted
2020-02-12,Council,RC,agenda-only/minutes-not-posted
2020-02-12,Council,WM,agenda-only/minutes-not-posted
2020-02-12,RDA,RC,1 agenda-only cand
2020-02-26,Council,RC,agenda-only/minutes-not-posted
2020-02-26,Council,WM,agenda-only/minutes-not-posted
2020-03-11,Council,RC,agenda-only/minutes-not-posted
2020-03-11,Council,WM,agenda-only/minutes-not-posted
2020-03-11,RDA,RC,1 agenda-only cand
2020-03-23,Council,SM,agenda-only/minutes-not-posted
2020-04-08,Council,RC,agenda-only/minutes-not-posted
2020-04-08,Council,WM,agenda-only/minutes-not-posted
2020-04-22,Council,RC,agenda-only/minutes-not-posted
2020-04-22,Council,WM,agenda-only/minutes-not-posted
2020-05-13,Council,RC,agenda-only/minutes-not-posted
2020-05-13,Council,WM,agenda-only/minutes-not-posted
2020-05-27,Council,RC,agenda-only/minutes-not-posted
2020-05-27,Council,WM,agenda-only/minutes-not-posted
2020-06-03,Council,RC,agenda-only/minutes-not-posted
2020-06-03,Council,WM,agenda-only/minutes-not-posted
2020-06-17,Council,RC,agenda-only/minutes-not-posted
2020-06-17,Council,WM,agenda-only/minutes-not-posted
2020-07-08,Council,WM,agenda-only/minutes-not-posted
2020-07-22,Council,WM,agenda-only/minutes-not-posted
2020-08-12,Council,WM,agenda-only/minutes-not-posted
2020-08-26,Council,WM,agenda-only/minutes-not-posted
2020-09-30,Council,WM,agenda-only/minutes-not-posted
2020-10-14,Council,WM,agenda-only/minutes-not-posted
2020-10-28,Council,WM,agenda-only/minutes-not-posted
2020-11-04,Council,WM,agenda-only/minutes-not-posted
2020-11-18,Council,WM,agenda-only/minutes-not-posted
2020-12-02,Council,WM,agenda-only/minutes-not-posted
2020-12-09,Council,WM,agenda-only/minutes-not-posted
2021-01-13,Council,WM,agenda-only/minutes-not-posted
2021-01-27,Council,WM,agenda-only/minutes-not-posted
2021-02-10,Council,WM,agenda-only/minutes-not-posted
2021-03-10,Council,RC,agenda-only/minutes-not-posted
