date,year,title,slug,path,source,source_url,format,body,meeting_kind,pmn_file
2020-05-27,2020,RDA RC Meeting 2020-05-27,2020-05-27_rda_RC,minutes/2020/2020-05-25/2020-05-27_rda_RC.md,pmn,https://www.utah.gov/pmn/files/629433.pdf,pdf-text,RDA,RC,629433
2020-06-03,2020,RDA RC Meeting 2020-06-03,2020-06-03_rda_RC,minutes/2020/2020-06-01/2020-06-03_rda_RC.md,pmn,https://www.utah.gov/pmn/files/629435.pdf,pdf-text,RDA,RC,629435
2020-06-17,2020,RDA RC Meeting 2020-06-17,2020-06-17_rda_RC,minutes/2020/2020-06-15/2020-06-17_rda_RC.md,pmn,https://www.utah.gov/pmn/files/629437.pdf,pdf-text,RDA,RC,629437
2020-07-08,2020,Council RC Meeting 2020-07-08,2020-07-08_council_RC,minutes/2020/2020-07-06/2020-07-08_council_RC.md,pmn,https://www.utah.gov/pmn/files/629441.pdf,pdf-text,Council,RC,629441
2020-07-08,2020,RDA RC Meeting 2020-07-08,2020-07-08_rda_RC,minutes/2020/2020-07-06/2020-07-08_rda_RC.md,pmn,https://www.utah.gov/pmn/files/629439.pdf,pdf-text,RDA,RC,629439
2020-07-22,2020,Council RC Meeting 2020-07-22,2020-07-22_council_RC,minutes/2020/2020-07-20/2020-07-22_council_RC.md,pmn,https://www.utah.gov/pmn/files/634387.pdf,pdf-text,Council,RC,634387
2020-08-12,2020,Council RC Meeting 2020-08-12,2020-08-12_council_RC,minutes/2020/2020-08-10/2020-08-12_council_RC.md,pmn,https://www.utah.gov/pmn/files/649009.pdf,pdf-text,Council,RC,649009
2020-08-12,2020,RDA RC Meeting 2020-08-12,2020-08-12_rda_RC,minutes/2020/2020-08-10/2020-08-12_rda_RC.md,pmn,https://www.utah.gov/pmn/files/637383.pdf,pdf-text,RDA,RC,637383
2020-08-26,2020,Council RC Meeting 2020-08-26,2020-08-26_council_RC,minutes/2020/2020-08-24/2020-08-26_council_RC.md,pmn,https://www.utah.gov/pmn/files/649015.pdf,pdf-text,Council,RC,649015
2020-09-09,2020,Council RC Meeting 2020-09-09,2020-09-09_council_RC,minutes/2020/2020-09-07/2020-09-09_council_RC.md,pmn,https://www.utah.gov/pmn/files/649007.pdf,pdf-text,Council,RC,649007
2020-09-09,2020,RDA RC Meeting 2020-09-09,2020-09-09_rda_RC,minutes/2020/2020-09-07/2020-09-09_rda_RC.md,pmn,https://www.utah.gov/pmn/files/649005.pdf,pdf-text,RDA,RC,649005
2020-09-17,2020,Council SM Meeting 2020-09-17,2020-09-17_council_SM,minutes/2020/2020-09-14/2020-09-17_council_SM.md,pmn,https://www.utah.gov/pmn/files/664209.pdf,pdf-text,Council,SM,664209
2020-09-23,2020,RDA RC Meeting 2020-09-23,2020-09-23_rda_RC,minutes/2020/2020-09-21/2020-09-23_rda_RC.md,pmn,https://www.utah.gov/pmn/files/655911.pdf,pdf-text,RDA,RC,655911
2020-09-30,2020,Council RC Meeting 2020-09-30,2020-09-30_council_RC,minutes/2020/2020-09-28/2020-09-30_council_RC.md,pmn,https://www.utah.gov/pmn/files/664223.pdf,pdf-text,Council,RC,664223
2020-10-14,2020,Council RC Meeting 2020-10-14,2020-10-14_council_RC,minutes/2020/2020-10-12/2020-10-14_council_RC.md,pmn,https://www.utah.gov/pmn/files/677099.pdf,pdf-text,Council,RC,677099
2020-10-14,2020,RDA RC Meeting 2020-10-14,2020-10-14_rda_RC,minutes/2020/2020-10-12/2020-10-14_rda_RC.md,pmn,https://www.utah.gov/pmn/files/655913.pdf,pdf-text,RDA,RC,655913
2020-10-28,2020,Council RC Meeting 2020-10-28,2020-10-28_council_RC,minutes/2020/2020-10-26/2020-10-28_council_RC.md,pmn,https://www.utah.gov/pmn/files/677103.pdf,pdf-text,Council,RC,677103
2020-10-28,2020,RDA RC Meeting 2020-10-28,2020-10-28_rda_RC,minutes/2020/2020-10-26/2020-10-28_rda_RC.md,pmn,https://www.utah.gov/pmn/files/666957.pdf,pdf-text,RDA,RC,666957
2020-11-04,2020,Council RC Meeting 2020-11-04,2020-11-04_council_RC,minutes/2020/2020-11-02/2020-11-04_council_RC.md,pmn,https://www.utah.gov/pmn/files/677109.pdf,pdf-text,Council,RC,677109
2020-11-04,2020,RDA RC Meeting 2020-11-04,2020-11-04_rda_RC,minutes/2020/2020-11-02/2020-11-04_rda_RC.md,pmn,https://www.utah.gov/pmn/files/666959.pdf,pdf-text,RDA,RC,666959
2020-11-18,2020,Council RC Meeting 2020-11-18,2020-11-18_council_RC,minutes/2020/2020-11-16/2020-11-18_council_RC.md,pmn,https://www.utah.gov/pmn/files/677113.pdf,pdf-text,Council,RC,677113
2020-12-02,2020,Council RC Meeting 2020-12-02,2020-12-02_council_RC,minutes/2020/2020-11-30/2020-12-02_council_RC.md,pmn,https://www.utah.gov/pmn/files/691353.pdf,pdf-text,Council,RC,691353
2020-12-09,2020,Council RC Meeting 2020-12-09,2020-12-09_council_RC,minutes/2020/2020-12-07/2020-12-09_council_RC.md,pmn,https://www.utah.gov/pmn/files/677121.pdf,pdf-text,Council,RC,677121
2020-12-09,2020,RDA RC Meeting 2020-12-09,2020-12-09_rda_RC,minutes/2020/2020-12-07/2020-12-09_rda_RC.md,pmn,https://www.utah.gov/pmn/files/677123.pdf,pdf-text,RDA,RC,677123
2021-01-13,2021,Council RC Meeting 2021-01-13,2021-01-13_council_RC,minutes/2021/2021-01-11/2021-01-13_council_RC.md,pmn,https://www.utah.gov/pmn/files/686271.pdf,pdf-text,Council,RC,686271
2021-01-13,2021,RDA RC Meeting 2021-01-13,2021-01-13_rda_RC,minutes/2021/2021-01-11/2021-01-13_rda_RC.md,pmn,https://www.utah.gov/pmn/files/685713.pdf,pdf-text,RDA,RC,685713
2021-01-27,2021,Council RC Meeting 2021-01-27,2021-01-27_council_RC,minutes/2021/2021-01-25/2021-01-27_council_RC.md,pmn,https://www.utah.gov/pmn/files/696419.pdf,pdf-text,Council,RC,696419
