name,role,first_seen,last_seen,meetings_present,n_vote_rows
Corey Thomas,Council/Board Member (observed),2020-05-27,2026-07-08,135,678
Sharla Bynum,Council/Board Member (observed),2020-05-27,2026-07-08,135,678
LeAnne Huff,Council/Board Member (observed),2020-05-27,2026-01-28,120,590
Clarissa Williams,Council/Board Member (observed),2022-09-14,2026-07-08,105,571
Nick Mitchell,Council/Board Member (observed),2024-01-10,2026-07-08,79,434
Natalie Pinkney,Council/Board Member (observed),2020-05-27,2024-12-11,91,403
Ray deWolfe,Council/Board Member (observed),2020-05-27,2026-07-08,71,372
Paul Sanchez,Council/Board Member (observed),2023-11-15,2026-01-14,62,301
Portia Mila,Council/Board Member (observed),2020-05-27,2023-12-13,56,236
Shane Siwik,Council/Board Member (observed),2020-05-27,2023-09-13,48,206
Irvin Jones,Council/Board Member (observed),2026-03-11,2026-07-08,12,76
Joy Glad,Council/Board Member (observed),2026-03-11,2026-07-08,12,76
Leanne Huff,Council/Board Member (observed),2020-09-17,2020-09-17,1,2
