name,role,first_seen,last_seen,meetings_present,n_vote_rows
Dan Mills,Commissioner,2020-01-08,2026-01-21,47,94
Lucy Anderson,Commissioner,2021-03-03,2026-01-21,37,69
Mike Shelton,Commissioner,2022-08-03,2026-01-21,26,42
Mike Smith,Commissioner,2023-01-18,2026-01-21,25,36
Sean Steinman,Commissioner,2022-08-03,2026-01-21,25,39
Jesse Allen,Commissioner,2020-01-08,2023-06-07,24,55
Jessica Chappell,Commissioner,2020-12-02,2024-04-03,24,49
Jonathan Ebbeler,Commissioner,2021-07-21,2024-04-03,22,43
Chris Coutts,Commissioner,2020-01-08,2022-06-01,19,50
Bob Wilde,Commissioner,2020-04-15,2022-06-01,18,47
Craig Bevan,Commissioner,2020-01-08,2022-06-01,17,42
Dan Poulson,Commissioner,2023-09-06,2025-07-16,13,19
Douglas Rhodes,Commissioner,2020-01-08,2021-05-05,12,29
Sue Ryser,Commissioner,2020-01-08,2020-10-07,6,19
Garry Barnes,Commissioner,2025-03-05,2026-01-21,4,6
Graig Griffin,Commissioner,2020-03-04,2020-05-06,2,6
Rusty Lugo,Commissioner,2026-01-21,2026-01-21,1,1
