date,year,description,reason,source_url
2020-02-05,2020,"Planning Commission (PMN notice 585513; Wayback anchor, doc never captured)",minutes doc purged from city CMS (live 404) and never captured by the Internet Archive — GRAMA-only recovery,https://www.utah.gov/pmn/sitemap/notice/585513.html
2020-02-19,2020,Administrative Hearing (PMN notice 589359; PMN event date mis-listed as 2020-02-18),"PMN holds the agenda packet only (2020_02_19 ADM Packet.pdf); no minutes on PMN, city portal (rolling window starts ~2022), or Wayback — GRAMA-only recovery",https://www.utah.gov/pmn/sitemap/notice/589359.html
2020-03-12,2020,"Administrative Hearing (Wayback anchor, doc never captured)",minutes doc purged from city CMS (live 404); no Wayback capture — GRAMA-only recovery,
2020-08-12,2020,Administrative Hearing (PMN notice 621981),minutes doc purged from city CMS (live 500) and never captured by the Internet Archive — GRAMA-only recovery,https://www.utah.gov/pmn/sitemap/notice/621981.html
2021-02-03,2021,Planning Commission (PMN notice 653369),minutes doc purged from city CMS (live 404); no Wayback capture — GRAMA-only recovery,https://www.utah.gov/pmn/sitemap/notice/653369.html
2021-02-17,2021,Administrative Hearing (PMN notice 661227),minutes doc purged from city CMS (live 500); no Wayback capture — GRAMA-only recovery,https://www.utah.gov/pmn/sitemap/notice/661227.html
2021-06-02,2021,Planning Commission (PMN notice 680775),minutes doc purged from city CMS (live 500); no Wayback capture — GRAMA-only recovery,https://www.utah.gov/pmn/sitemap/notice/680775.html
2021-07-07,2021,Planning Commission (PMN notice 686923),minutes doc purged from city CMS (live 404); no Wayback capture — GRAMA-only recovery,https://www.utah.gov/pmn/sitemap/notice/686923.html
2021-10-20,2021,Planning Commission (Wayback anchor; PMN copy was the wrong doc),"portal Minutes anchor existed but the doc is purged (live 500), never Wayback-captured; the PMN attachment was the 2021-10-06 admin hearing (documented exception) — GRAMA-only recovery",
2025-10-01,2025,Administrative Hearing (portal doc 10425 is an UNAPPROVED draft),only an UNAPPROVED draft admin-hearing minutes doc is posted (portal doc 10425); approved minutes not yet published; no separate posted Planning Commission-meeting minutes for this date — recovery lead once approved,https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/10425/638972578880370000
2025-12-03,2025,Planning Commission (PMN notice 1024523),"portal lists agenda+packet only (docs 10531/10533, 10527/10525), no minutes doc; PMN holds agenda only — minutes not published as of 2026-07-19; GRAMA / future-post lead",https://www.utah.gov/pmn/sitemap/notice/1024523.html
2025-12-15,2025,Planning Commission (PMN notice 1045289),"portal lists agenda+packet only (docs 10587/10589), no minutes doc; PMN holds agenda only — minutes not published as of 2026-07-19; GRAMA / future-post lead",https://www.utah.gov/pmn/sitemap/notice/1045289.html
2026-05-06,2026,Planning Commission (PMN notice 1068949),"portal lists agenda+packet only (docs 11033/11035), no minutes doc, no cancellation; PMN holds agenda only — minutes likely pending adoption as of 2026-07-19; future-post lead",https://www.utah.gov/pmn/sitemap/notice/1068949.html
