year,election_type,office,district,contest,candidate,votes,pct,rank,is_winner
2016,municipal general,Council,1,Magna City Council District 1,STEVE PROKOPIS,829,57.85,1,True
2016,municipal general,Council,1,Magna City Council District 1,GEORGIA YORK,604,42.15,2,False
2016,municipal general,Council,2,Magna City Council District 2,BRINT D. PEEL,643,51.4,1,True
2016,municipal general,Council,2,Magna City Council District 2,MARK E ELIESON,608,48.6,2,False
2016,municipal general,Council,3,Magna City Council District 3,DAN W. PEAY,740,50.17,1,True
2016,municipal general,Council,3,Magna City Council District 3,BENNION GARDNER,735,49.83,2,False
2016,municipal general,Council,4,Magna City Council District 4,TRISH HULL,631,55.99,1,True
2016,municipal general,Council,4,Magna City Council District 4,JOHN SUDBURY,496,44.01,2,False
2016,municipal general,Council,5,Magna City Council District 5,ERIC FERGUSON,662,58.33,1,True
2016,municipal general,Council,5,Magna City Council District 5,STEVEN NOSACK,473,41.67,2,False
2017,municipal general,Council,2,Magna City Council District 2,BRINT D. PEEL,513,100.0,1,True
2017,municipal general,Council,4,Magna City Council District 4,TRISH HULL,396,100.0,1,True
2019,municipal general,Council,1,Magna City Council District 1,STEVE PROKOPIS,538,100.0,1,True
2019,municipal general,Council,3,Magna City Council District 3,DAN W. PEAY,470,100.0,1,True
2019,municipal general,Council,5,Magna City Council District 5,AUDREY PIERCE,435,100.0,1,True
2021,municipal general,Council,2,Magna City Council District 2,ERIC G BARNEY,347,59.72,1,True
2021,municipal general,Council,2,Magna City Council District 2,BRINT D. PEEL,190,32.7,2,False
2021,municipal general,Council,2,Magna City Council District 2,PARIS RAMOS,44,7.57,3,False
2021,municipal general,Council,4,Magna City Council District 4,TRISH HULL,283,100.0,1,True
2025,municipal general,Council,2,Magna City Council District 2,MEGAN L. OLSEN,431,68.41,1,True
2025,municipal general,Council,2,Magna City Council District 2,ERIC GORDON BARNEY,199,31.59,2,False
2025,municipal general,Council,2,Magna City Council District 2,Write-in (unresolved),0,0.0,3,False
2025,municipal general,Council,4,Magna City Council District 4,TERRY GEORGE,323,52.78,1,True
2025,municipal general,Council,4,Magna City Council District 4,TRISH A. HULL,289,47.22,2,False
2025,municipal general,Council,4,Magna City Council District 4,Write-in (unresolved),0,0.0,3,False
2025,municipal general,Mayor,,Magna City Mayor,MICKEY M SUDBURY,2260,65.39,1,True
2025,municipal general,Mayor,,Magna City Mayor,ALEXANDER J. ADRIANO,1196,34.61,2,False
2025,municipal general,Mayor,,Magna City Mayor,Write-in (unresolved),0,0.0,3,False
2025,municipal primary,Council,2,Magna City Council District 2,MEGAN L. OLSEN,231,47.34,1,True
2025,municipal primary,Council,2,Magna City Council District 2,ERIC GORDON BARNEY,186,38.11,2,False
2025,municipal primary,Council,2,Magna City Council District 2,CISCO JOHNNY RODRIGUEZ,71,14.55,3,False
2025,municipal primary,Council,2,Magna City Council District 2,Write-in (unresolved),0,0.0,4,False
2025,municipal primary,Council,4,Magna City Council District 4,TRISH A. HULL,179,40.41,1,True
2025,municipal primary,Council,4,Magna City Council District 4,TERRY GEORGE,174,39.28,2,False
2025,municipal primary,Council,4,Magna City Council District 4,BROOKS JONES,90,20.32,3,False
2025,municipal primary,Council,4,Magna City Council District 4,Write-in (unresolved),0,0.0,4,False
2025,municipal primary,Mayor,,Magna City Mayor,MICKEY M SUDBURY,1142,43.24,1,True
2025,municipal primary,Mayor,,Magna City Mayor,ALEXANDER J. ADRIANO,555,21.01,2,False
2025,municipal primary,Mayor,,Magna City Mayor,MICHAEL RONALD ROMERO,525,19.88,3,False
2025,municipal primary,Mayor,,Magna City Mayor,MAXWELL THOMAS WHITE,419,15.87,4,False
2025,municipal primary,Mayor,,Magna City Mayor,Write-in (unresolved),0,0.0,5,False
