year,election_type,office,district,contest,precinct,candidate,votes,suppressed
2016,municipal general,Council,1,Magna City Council District 1,MAG010,STEVE PROKOPIS,297,False
2016,municipal general,Council,1,Magna City Council District 1,MAG010,GEORGIA YORK,224,False
2016,municipal general,Council,1,Magna City Council District 1,MAG011,STEVE PROKOPIS,357,False
2016,municipal general,Council,1,Magna City Council District 1,MAG011,GEORGIA YORK,246,False
2016,municipal general,Council,1,Magna City Council District 1,MAG013,STEVE PROKOPIS,170,False
2016,municipal general,Council,1,Magna City Council District 1,MAG013,GEORGIA YORK,132,False
2016,municipal general,Council,1,Magna City Council District 1,MAG901,STEVE PROKOPIS,5,False
2016,municipal general,Council,1,Magna City Council District 1,MAG901,GEORGIA YORK,2,False
2016,municipal general,Council,2,Magna City Council District 2,MAG001,BRINT D. PEEL,252,False
2016,municipal general,Council,2,Magna City Council District 2,MAG001,MARK E ELIESON,232,False
2016,municipal general,Council,2,Magna City Council District 2,MAG003,BRINT D. PEEL,199,False
2016,municipal general,Council,2,Magna City Council District 2,MAG003,MARK E ELIESON,236,False
2016,municipal general,Council,2,Magna City Council District 2,MAG004,BRINT D. PEEL,192,False
2016,municipal general,Council,2,Magna City Council District 2,MAG004,MARK E ELIESON,140,False
2016,municipal general,Council,3,Magna City Council District 3,MAG005,DAN W. PEAY,298,False
2016,municipal general,Council,3,Magna City Council District 3,MAG005,BENNION GARDNER,327,False
2016,municipal general,Council,3,Magna City Council District 3,MAG006,DAN W. PEAY,161,False
2016,municipal general,Council,3,Magna City Council District 3,MAG006,BENNION GARDNER,228,False
2016,municipal general,Council,3,Magna City Council District 3,MAG007,DAN W. PEAY,281,False
2016,municipal general,Council,3,Magna City Council District 3,MAG007,BENNION GARDNER,180,False
2016,municipal general,Council,4,Magna City Council District 4,MAG009,TRISH HULL,330,False
2016,municipal general,Council,4,Magna City Council District 4,MAG009,JOHN SUDBURY,262,False
2016,municipal general,Council,4,Magna City Council District 4,MAG016,TRISH HULL,301,False
2016,municipal general,Council,4,Magna City Council District 4,MAG016,JOHN SUDBURY,234,False
2016,municipal general,Council,5,Magna City Council District 5,MAG012,STEVEN NOSACK,169,False
2016,municipal general,Council,5,Magna City Council District 5,MAG012,ERIC FERGUSON,205,False
2016,municipal general,Council,5,Magna City Council District 5,MAG014,STEVEN NOSACK,166,False
2016,municipal general,Council,5,Magna City Council District 5,MAG014,ERIC FERGUSON,221,False
2016,municipal general,Council,5,Magna City Council District 5,MAG015,STEVEN NOSACK,138,False
2016,municipal general,Council,5,Magna City Council District 5,MAG015,ERIC FERGUSON,236,False
2017,municipal general,Council,2,Magna City Council District 2,MAG001,BRINT D. PEEL,181,False
2017,municipal general,Council,2,Magna City Council District 2,MAG003,BRINT D. PEEL,180,False
2017,municipal general,Council,2,Magna City Council District 2,MAG004,BRINT D. PEEL,152,False
2017,municipal general,Council,4,Magna City Council District 4,MAG009,TRISH HULL,208,False
2017,municipal general,Council,4,Magna City Council District 4,MAG016,TRISH HULL,188,False
2019,municipal general,Council,1,Magna City Council District 1,MAG010,STEVE PROKOPIS,170,False
2019,municipal general,Council,1,Magna City Council District 1,MAG011,STEVE PROKOPIS,231,False
2019,municipal general,Council,1,Magna City Council District 1,MAG013,STEVE PROKOPIS,131,False
2019,municipal general,Council,1,Magna City Council District 1,MAG901,STEVE PROKOPIS,6,False
2019,municipal general,Council,3,Magna City Council District 3,MAG005,DAN W. PEAY,188,False
2019,municipal general,Council,3,Magna City Council District 3,MAG006,DAN W. PEAY,140,False
2019,municipal general,Council,3,Magna City Council District 3,MAG007,DAN W. PEAY,142,False
2019,municipal general,Council,5,Magna City Council District 5,MAG012,AUDREY PIERCE,161,False
2019,municipal general,Council,5,Magna City Council District 5,MAG014,AUDREY PIERCE,145,False
2019,municipal general,Council,5,Magna City Council District 5,MAG015,AUDREY PIERCE,129,False
2021,municipal general,Council,2,Magna City Council District 2,MAG001,BRINT D. PEEL,57,False
2021,municipal general,Council,2,Magna City Council District 2,MAG001,ERIC G BARNEY,112,False
2021,municipal general,Council,2,Magna City Council District 2,MAG001,PARIS RAMOS,17,False
2021,municipal general,Council,2,Magna City Council District 2,MAG003,BRINT D. PEEL,79,False
2021,municipal general,Council,2,Magna City Council District 2,MAG003,ERIC G BARNEY,117,False
2021,municipal general,Council,2,Magna City Council District 2,MAG003,PARIS RAMOS,9,False
2021,municipal general,Council,2,Magna City Council District 2,MAG004,BRINT D. PEEL,54,False
2021,municipal general,Council,2,Magna City Council District 2,MAG004,ERIC G BARNEY,118,False
2021,municipal general,Council,2,Magna City Council District 2,MAG004,PARIS RAMOS,18,False
2021,municipal general,Council,4,Magna City Council District 4,MAG009,TRISH HULL,151,False
2021,municipal general,Council,4,Magna City Council District 4,MAG016,TRISH HULL,132,False
2025,municipal general,Council,2,Magna City Council District 2,MAG002,ERIC GORDON BARNEY,79,False
2025,municipal general,Council,2,Magna City Council District 2,MAG002,MEGAN L. OLSEN,162,False
2025,municipal general,Council,2,Magna City Council District 2,MAG002,Write-in (unresolved),0,False
2025,municipal general,Council,2,Magna City Council District 2,MAG003,ERIC GORDON BARNEY,66,False
2025,municipal general,Council,2,Magna City Council District 2,MAG003,MEGAN L. OLSEN,115,False
